Action	Count Usages	Normative Form	Idiomatic Forms
are_humiliated_by	37	B humiliated A	"B delivered a humiliating lecture to A, B read A the riot act, B did not spare A's feelings in a scathing rant, B launched a humiliating tirade at A, B publically humiliated A, B reduced A's reputation to rubble, B verbally dismantled A brick by brick, B publically chastised A as one would chastise a child, B excoriated A with a humiliating lecture, B made A feel very small indeed, B gave A a very public dressing down, B subjected A to public ridicule"
are_respected_by	37	B respected A	"B thoroughly respected A, B had nothing but respect for A, B thought very highly of A, B was very respectful of A, B had the utmost respect for A, B felt a kinship to A, B respected and admired A"
are_cheated_by	37	B cheated A	"B scurrilously cheated A, B cheated A out of its due, B denied fair treatment to A, B conned A out of its due, B refused to honor its commitments to A"
are_sued_by	37	B sued A	"B brought a lawsuit against A, B took A to court, B hired a lawyer and sued A, B brought suit against A in open court, B sought redress against A through the courts, B brought a legal case against A"
turn_against	35	A turned against B	"A turned against B, A's feelings for B soured, A no longer considered B an ally, A and B's relationship soured, A and B fell out, A no longer respected or trusted B, A harbored bad feelings for B"
manipulate	35	A manipulated B	"A manipulated B as a puppeteer manipulates a puppet, A pulled all of B's strings, A knew how to press B's buttons, A played B like a master pianist, A knew exactly how to manipulate B, A could manipulate B into doing anything"
are_bought_off_by	34	B bought off A	"B paid A to do what it asked, B gave A a big pay off, B bribed A to play along, B earned A's loyalty with money, B paid A to look the other way"
are_upstaged_by	34	B upstaged A	"B stole A's thunder, B took the spotlight away from A, B pushed A out of the limelight, A was thoroughly upstaged by B, B overshadowed A in every way"
testify_against	33	A testified against B	"A testified against B in open court, A filed a statement about B with the authorities, A filed an official report against B, A gave a statement about B to the police"
are_unimpressed_by	32	B unimpressed A	"B failed to impress A, A was thoroughly unimpressed with B, A saw B as a hopeless case, B could do little to impress A, B tried but failed to impress A, B made little or no impression on B"
are_moved_by	31	B moved A	"B's situation moved A to tears, A's heart softened toward B, B's plight melted A's heart, B's plight pulled on A's heartstrings, B's plight really moved A"
are_denounced_by	30	B denounced A	"B publically denounced A, B launched a public denunciation of A, B launched a public tirade against A, B's denunciation of A was scathing, B disavowed any feeling for A, B denounced A to the world, B denounced A to anyone who would listen, B burned A's reputation to the ground"
lead_astray	30	A led B astray	"A led B astray, A led B down a dark path, A was a very bad influence on B, A led B off the path of righteousness, A taught B to disrespect the rules, A taught B to flaut the rules, A lured B over to the dark side"
are_seduced_by	30	B seduced A	"B seduced and enthralled A, B lured A into the bedroom, B flashed its bedroom eyes at A, B's seductive wiles proved too strong for A, B shamelessly seduced A, B charmed the pants of A"
are_insulted_by	29	B insulted A	"B hurled insults at A, B cruelly made fun of A, B ridiculed and insulted A, B's hurtful response stung A, B made degrading remarks about A, B made demeaning remarks about A, B verbally assaulted A, B's insults struck A like stones, B's insults struck A like poisoned darts, B's insults stung like a wasp's stinger, B's insults stung like a scorpion's tail"
are_blackmailed_by	28	B blackmailed A	"B used blackmail to manipulate A, B used inside information to blackmail A, B threatened to air A's dirty laundry, B stooped to blackmail against A, B threatened to expose A's darkest secrets"
indoctrinate	27	A indoctrinated B	"A filled B's head with doctrinaire ideas, A filled B's head with rigid dogma, A programmed B to think dogmatically, A indoctrinated B with the approved dogma, A worked to curtail B's freedom of thought, A steeped B in dogma and doctrine, A instilled B with a dogmatic mindset, A turned B into a slave of doctrine"
are_beaten_by	27	B beat A	"B stomped all over A, B beat A convincingly, B launched a brutal beat down on A, B brutally beat A, B brutally battered A"
are_corrupted_by	27	B corrupted A	"B corrupted A's soul, B lured A over to the dark side, B was a corrupting influence on A, B had a corrosive influence on A, B appealed to A's dark side, ""Come over to the dark side"" said B to A"
are_underappreciated_by	27	B underappreciated A	"B failed to appreciate A, B did not see A's true value, B did not fully appreciate A, A's value went unappreciated by B"
stand_up_to	26	A stood up to B	"A stood up to B, A had taken enough abuse from B, A called an end to B's abuse, A grew a backbone and stood up to B, A bared its teeth to B, A refused to take B's abuse any longer"
lie_to	26	A lied to B	"A chose to lie to B, A fed B a string of lies, A witheld the truth from B, A told B a pack of lies, A hid the truth from B"
show_loyalty_to	26	A showed loyalty to B	"A showed true loyalty to B, A swore loyalty to B, A seemed utterly loyal to B, A was a loyal friend to B, A promised to be B's loyal servant, A pledged allegiance to B"
impress	26	A impressed B	"A's many qualities impressed B, A greatly impressed B, A made quite an impression on B, A made a big impression on B"
are_attacked_by	25	B attacked A	"B attacked A with all its strength, B launched a brutal attack on A, B launched a surprise attack on A, B pounced on A, B threw itself violently at A, B's sticks and stones broke A's bones"
disagree_with	25	A disagreed with B	"A disagreed openly with B, A expressed strong disagreement with B, A dissented from B's view, A could not agree with B"
sleep_with	25	A slept with B	"A slept with B, A went to bed with B, A shared its bed with B, A took B to its bed, A and B spent the night together"
attack	25	A attacked B	"A attacked B with all its strength, A launched a massive attack on B, A pounced on B, A threw itself into an attack on B, A launched a full-frontal attack on B"
are_rebuffed_by	25	B rebuffed A	"B sent A packing, ""I want nothing to do with you"" said B to A, ""Piss off"" said B to A, B turned its back on A, B wanted nothing to do with A, B coldly dismissed A with a sneer, B coldly showed A the door"
identify_with	25	A identified with B	"A came to identify with B's situation, A put itself in B's shoes, A developed a sense of kinship with B, A forged a bond with B"
are_pursued_by	25	B pursued A	"B chased after A, B pursued A relentlessly, B went in pursuit of A"
are_obeyed_by	25	B obeyed A	"B obeyed A's orders, B became an obedient servant of A, B followed A's orders, B pledged obedience to A, B followed A's orders to the letter"
are_inspired_by	24	B inspired A	"B became a source of inspiration for A, B became a shining inspiration for A, B became a role model for A, B filled A with inspiration, B encouraged and inspired A"
are_threatened_by	24	B threatened A	"B threatened A with violence, B made threats against A, B threatened to kill A, B threatened violence against A, B threatened to hurt A, B intimidated A with threats of violence"
inspire	24	A inspired B	"A became a source of inspiration for B, A became a shining inspiration for B, A became a role model for B, A filled B with inspiration, A encouraged and inspired B, A seemed to speak to B's soul"
are_manipulated_by	24	B manipulated A	"B pulled A's strings, B knew how to push A's buttons, B knew just how to manipulate A, B had its hooks deep into A, B turned A into its unwitting puppet, A was a marionette and B was its master, B manipulated A into doing its dirty work"
campaign_against	24	A campaigned against B	"A campaigned vigorously against B, A went on the offensive against B, A became B's nemesis"
are_shocked_by	23	B shocked A	"B's behaviour shocked A, B's behaviour appalled A, A was dismayed by B's behaviour, B's shocking behavior appalled A"
insult	23	A insulted B	"A hurled insults at B, A cruelly made fun of B, A ridiculed and insulted B, A's hurtful response stung B, A made degrading remarks about B, A made demeaning remarks about B, A verbally assaulted B, A mocked and insulted B"
spy_on	23	A spied on B	"A furtively spied on B, A kept B under close observation, A closely monitored B's comings and goings"
are_disillusioned_by	23	B disillusioned A	"B robbed A of its illusions, B disabused A of its illusions, B showed A its true colours, B showed A its less impressive side"
are_mocked_by	23	B mocked A	"B cruelly mocked A, B subjected A to cruel mockery, B subjected A to a barrage of sarcasm, B's sarcasm cut A like a knife"
trust	22	A trusted B	"A trusted B implicitly, A had complete confidence in B, A placed its trust in B"
are_rewarded_by	22	B rewarded A	"B rewarded A amply, B gave A its just reward, B was generous in its reward to A, B did not skimp when rewarding A, B gave A a token of its appreciation"
are_abandoned_by	21	B abandoned A	"B abandoned A there and then, ""I'm outa here"" shouted B to A, B picked up and left A behind, ""I've had enough of you"" said B, B ran off and left A behind, B packed a bag and left A, B packed up its things and left A behind"
lick_up_to	21	A licked up to B	"A licked up to B, A brown-nosed for favor from B, A flattered and cajoled B, A acted like a brown-nose around B, A massaged B's ego"
sue	21	A sued B	"A decided to sue B, A brought a law-suit against B, A took B to court, A hired a lawyer and took B to court, A hired a lawyer to sue B, A fawned over and sucked up to B"
are_flattered_by	21	B flattered A	"B flattered and fawned over A, B used flattery to win over A, B subjected A to a barrage of compliments"
blackmail	21	A blackmailed B	"A threatened to spill B's secrets, A used blackmail to manipulate B, A used B's darkest secrets to blackmail B"
deceive	20	A deceived B	"A deceived and misled B, A pulled the wool of B's eyes, A used deception to influence B, A lied and lied to B, A's lies found a willing listener in B, A's lies made a gullible fool out of B"
kiss_up_to	20	A kissed up to B	"A kissed up to B, A massaged B's ego, A acted like a brown-nose around B, A was a real kiss-ass to B"
lay_a_trap_for	20	A laid a trap for B	"A laid a cunning trap for B, A prepared a trap for B to fall into, A decided to set a trap for B"
profit_from	20	A profited from B	"A made a lot of money from B, A treated B as a cash-cow, A milked B as a cash-cow, A profited from its association with B, A monetized its relationship to B, A grew a profitable relationship with B"
are_dumped_by	20	B dumped A	"B unceremoniously dumped A, B did not let A down gently, ""We're through"" said B to A, ""We're no longer an item"" said B to A, B lowered the boom on A, ""So long loser"" said B to A"
are_resisted_by	20	B resisted A	"B resisted and opposed A, B put up a defiant resistance to A, B was defiant in resisting A, B showed only defiance to A, A refused to buckle under to A"
humiliate	20	A humiliated B	"A delivered a humiliating lecture to B, A read B the riot act, A did not spare B's feelings in a scathing rant, A launched a humiliating tirade at B, A publically humiliated B, A reduced B's reputation to rubble, A verbally dismantled B brick by brick, A publically chastised B as one would chastise a child, A excoriated B with a humiliating lecture, A made B feel very small indeed, A gave B a very public dressing down, A subjected B to public ridicule"
are_arrested_for_killing	19	A was arrested for killing B	"A was arrested for brutally attacking B, the police arrested A for its brutal attack on B, A was arrested for its vicious assault on B"
are_despised_by	19	B despised A	"B hated and despised A, B truly despised A, B truly abhorred A, B loathed everything about A, B hated everything about A, B abhorred everything about A, B saw no redeeming qualities in A, B saw A as loathsome and despicable, ""You despicable monster"" said B to A, ""How despicable you are"" said B to A, ""Oh despicable you"" said B to A"
learn_from	19	A learned from B	"A learned a valuable lesson from B, A learned valuable lessons from B, A considered B to be a good teacher, A was a good pupil for B, A became a dedicated student of B"
marry	19	A married B	"A tied the knot with B, A walked down the aisle with B, A and B decided to get married, A and B got hitched"
are_bitten_by	19	B bit A	"B took a bite out of A, B sunk its teeth into A, B bit a chunk out of A, B took a great big chunk out of A"
are_favored_by	19	B favored A	"B showered A with favor, B openly showed favor to A, B openly favored A, A basked in B's good affections, B showed favoritism toward A"
settle_with	19	A settled with B	"A reached a settlement with B, A buried the hatchet with B, A offered financial restitution to B, A and B reached a settlement deal"
are_misrepresented_by	19	B misrepresented A	"B misrepresented A's intentions, B misrepresented A's beliefs, B deliberately misrepresented A, B twisted A's words to suit itself, B painted a very misleading picture of A, B twisted A's words to suit its own ends"
argue_with	18	A argued with B	"A had a heated argument with B, A and B had a massive argument, A and B were at loggerheads, A argued openly with B, A and B engaged in heated arguments"
criticize	18	A criticized B	"A criticized B in public, A offered a savage critique of B, A stuck the knife of public criticism into B, A threw critical brickbats at B, A hurled a volley of criticism at B, A subjected B to a barrage of criticism"
dump	18	A dumped B	"A unceremoniously dumped B, A did not let B down gently, ""We're through"" said A to B, ""We're no longer an item"" said A to B, A lowered the boom on B, ""So long loser"" said A to B, ""Its not you but me"" said A disingeniously, A asked B to pack its bags and leave"
are_haunted_by	18	B haunted A	"B came back to haunt A, memories of B came back to haunt A, the ghost of B came back to haunt A, B's ghost would not leave A alone, the ghost of B offered A no respite"
surrender_to	18	A surrendered to B	"A waved the white flag to B, A threw in the towel to B, A called for a truce from B, ""I surrender! You win"" said A to B, ""You win! I surrender"" said A to B, A offered B its surrender"
are_spurned_by	18	B spurned A	"B spurned A's advances, B spurned A's entreaties, B turned a cold eye to A's entreaties, B was scornful of A's entreaties"
run_away_from	18	A ran away from B	"A scurried away from B, A ran off to get away from B, A ran away from B as fast as it could, A put distance between itself and B"
are_arrested_for_hurting	17	A was arrested for hurting B	"A was arrested for hurting B, the police arrested A for hurting B, A was arrested for its assault on B, A found itself alienated from B's affections"
alienate	17	A alienated B	"A shattered its relationship with B, A pushed B away, A lost B's affections, A alienated B's affections"
threaten	17	A threatened B	"A threatened B with physical violence, A made threats against B, A threatened to kill B, A threatened violence against B, A threatened to hurt B, A intimidated B with threats of violence"
fail_to_impress	17	A failed to impress B	"A failed to impress B, none of A's efforts impressed B, A could do nothing to impress B, try as it might A could not impress B, A simply could not impress B, none of A's efforts found favor with B"
are_fired_by	16	B fired A	"""You're fired"" shouted B at A, B gave A the sack, B demanded A's resignation, ""Get out! You're fired"" said B, B asked A to clear out its desk and leave, B demanded A's resignation"
listen_to	16	A listened to B	"A listened to what B had to say, A listened carefully to what B had to say, A listened attentively to B"
disgust	16	A disgusted B	"A filled B with disgust, A thoroughly sickened B, B was thoroughly disgusted with A, B was sickened by the very thought of A, A filled B with revulsion, A disgusted and repulsed B, B was thoroughly repulsed by A, B was disgusted at the very thought of A, ""You're disgusting"" thought B about A, ""You disgust me"" said B to A, ""How monstrous"" thought B of A, B considered A a disgusting monstrosity, A turned B's stomach, A made B sick to its stomach, A made B's skin crawl"
take_advantage_of	16	A took advantage of B	"A unscupulously took advantage of B, A took full advantage of B"
bow_down_to	16	A bowed down to B	"A bowed down to B and grovelled, A bowed down and kissed the hem of B's robe, A bowed down and swore fealty to B"
misrepresent	16	A misrepresented B	"A misrepresented B's intentions, A misrepresented B's beliefs, A deliberately misrepresented B, A twisted B's words to suit itself, A painted a very misleading picture of B, A twisted B's words to suit its own ends"
lose_faith_in	16	A lost faith in B	"A lost all faith in B, A no longer had any faith in B, A's faith in B completely evaporated"
curry_favor_with	16	A curried favor with B	A assiduously curried favor with B
work_for	16	A worked for B	"A went to work for B, A started a new job for B, A went to work in B's employ"
resent	15	A resented B	"A grew to resent B, A harbored bitter thoughts about B, A grew resentful about B, A nurtured resentful thoughts about B"
are_underestimated_by	15	B underestimated A	"B crucially underestimated A, A was smarter than B imagined, A was not quite as dumb as B imagined, B should not have treated A as a fool, A was not the fool that B imagined"
look_up_to	15	A looked up to B	"A looked up to B as a role model, A looked up to B as an idol, A put B on a very high pedestal, A looked up to B as an inspiration, A thought very highly indeed of B"
are_dismissed_by	15	B dismissed A	"B told A to just go away, B told A to get out and not come back, B coldly dismissed A and turned away"
pay_off	15	A paid off B	"A paid off B to do its bidding, A paid B to do its bidding, A paid B to be a willing servant, A bought B's loyalty with cash"
worship	15	A worshipped B	"A worshipped the ground beneath B, A worshipped B as a god, A adored B as a god, A saw B as nothing less than a god, A placed B on a very high pedestal, A practically worshipped B, B seemed utterly divine to A, A bowed down before B's awesomeness, A looked up to B as a god, A kissed the ground beneath B"
are_tricked_by	15	B tricked A	"B used trickery to deceive A, B's trickery found a willing dupe in A, B's trickery went unnoticed by A"
escape_from	15	A escaped from B	"A escaped from B's clutches, A broke free of B's clutches, A escaped from under B's nose"
are_stalked_by	14	B stalked A	"B furtively followed A everywhere, B stalked and harassed A"
are_taunted_by	14	B taunted A	"B hurled cruel taunts at A, B taunted A with cruel jibes"
betray	14	A betrayed B	"A stabbed B in the back, A became a Judas to B, A sold out B to its enemies, A betrayed B utterly, A's betrayal came as a surprise to B, A treacherously switched sides from B, A betrayed B's trust, A proved to be a false friend to B, A stuck a traitor's dagger between B's ribs"
are_promoted_by	14	B promoted A	"B gave A a big promotion, B promoted A into an important position, B gave A a big career boost, B helped A move up the career ladder, B gave A's career a big boost"
are_killed_by	14	B killed A	"B stabbed A, B mauled A, B put poison in A's cup, B put poison in A's food, B savaged A, B put A in the hospital, B gave A a terrible beating, B punched and kicked A, B gave A an almighty wallop, B kicked A into the next day, B stomped all over A, B gave A a good kicking, B viciously assaulted A, B launched an assassination attempt on A, B wanted to kill A, B choked the air out of A, A flayed B alive, B knocked the stuffing out of A"
rise_against	14	A rose up against B	"A rose up against B, A led an uprising against B, A stirred unrest against B, A fomented rebellion against B"
pander_to	14	A pandered to B	"A pandered to B's whims, A pandered to B's every need, A degraded itself to indulge B's whims"
silence	13	A silenced B	"A had B silenced, A shut B up, A took out a gagging order against B, A stuffed a smelly sock in B's mouth"
promote	13	A promoted B	"A gave B a big promotion, A promoted B into an important position, A gave B a big career boost, A promoted B's career, A helped B move up the career ladder, A gave B's career a big boost"
are_pitied_by	13	B pitied A	"B treated A as the most hideous wretch, B felt only pity for A now"
undermine	13	A undermined B	"A undermined B's position, A spread undermining rumors about B, A went behind B's back and undermined its position, A was an undermining influence on B, A worked hard to undermine B's position "
hate	13	A hated B	"A hated everything about B, A truly despised B, A nurtured a deep hatred of B, A's hatred for B knew no bounds, A's hatred for B was profound"
abuse	13	A abused B	"A abused and degraded B, A was mean and abusive to B, A physically and mentally abused B, A subjected B to terrible abuse"
pine_for	13	A pined for B	"A pined for B's smile, A longed for another chance with B, A longed to reconnect with B, A yearned to be with B again, A yearned for a kind word from B"
eject	13	A ejected B	"A kicked B out into the cold, A grabbed B by the scruff of the neck and shouted ""Get out"", A showed B the door with an air of finality, A had enough and kicked B out"
sympathize_with	13	A sympathized with B	"A came to sympathize with B, A developed sympathetic feelings for B, A was not unsympathetic to B"
are_concerned_about	13	A was concerned about B	"A became concerned about B, A developed concerns about B, A grew concerned about B's situation"
cheat	12	A cheated B	"A cheated B out of a lot of money, A conned a lot of money out of B, A ran a profitable con-job on B, A bilked B out of a lot of money"
are_brainwashed_by	12	B brainwashed A	"B brainwashed A into believing a pack of lies, B subjected A to a brainwashing process, B ""washed"" A's brain clean of any independent thoughts, B reprogrammed A's brain with dogma, A brainwashed B to tow the official line"
exploit	12	A exploited B	"A totally took advantage of B, A treated B as a pliable pawn, A pulled B's strings, A got B to do some bad stuff, A used B to achieve dubious goals, B was totally exploited by A, A pimped out B to its friends, B was urged to commit criminal acts for A, B was just a pawn in A's evil schemes "
are_entertained_by	12	B entertained A	"B entertained A with jokes and skits, B showed A a very good time, B put on an entertaining show for A"
flirt_with	12	A flirted with B	"A flirted outrageously with B, A made flirtatious glances at B, A invited B for an intimate chat, A invited B for a romantic meal, A took B to a romantic restaurant, A took B for a candlelit dinner, A invited B for a nightcap"
disrespect	11	A disrespected B	"A openly disrespected B, A sneered openly at B, A was always snooty to B, A was openly contemptuous of B, A thought very little of B, A never said anything nice about B, A had only bad things to say about B, A muttered darkly behind B's back, A did not pretend to like B, A was scornful of B, A spat in B's eye, A spat in B's face, A could say nothing good about B, A did not treat B with respect, A lacked any respect for B, A made B feel very small indeed"
are_indoctrinated_by	11	B indoctrinated A	"B filled A's head with doctrinaire ideas, B filled A's head with rigid dogma, B programmed A to think dogmatically, B indoctrinated A with the approved dogma, B worked to curtail A's freedom of thought, B steeped A in dogma and doctrine, B instilled A with a dogmatic mindset, B turned A into a slave of doctrine"
praise	11	A praised B	"A sang B's praises, A praised B to whoever would listen, A became effusive in its praise of B, A offered fulsome praise to B "
are_distrusted_by	11	B distrusted A	"B saw no reason to trust A, B was skeptical of A's motives, B kept a close eye on A, B felt the need to watch A closely"
are_toppled_by	11	B toppled A	"B toppled A from its perch, B knocked A off its perch, B kicked A off its throne, B knocked A off its high horse"
stalk	11	A stalked B	"A furtively followed B everywhere, A stalked and harassed B, A obsessed about B and followed it everywhere"
are_refused_payment_by	1	B refused to pay A	"B refused to pay A its due, B refused to pay what it owed A, B left A hanging for what was owed it, B's dud cheque to A bounced at the bank"
refuse_to_pay	11	A refused to pay B	"A refused to pay B its due, A refused to pay what it owed B, A left B hanging for what was owed it, A's dud cheque to B bounced at the bank"
are_abused_by	11	B abused A	"B abused and degraded A, B was mean and abusive to A, B physically and mentally abused A, B subjected A to terrible abuse"
break_with	11	A broke with B	"A broke away from B, A ended its association with B, A broke with B and went its own way, A and B went different ways, A severed all of its ties with B"
are_attracted_by	11	B attracted A	"A felt an attraction to B, B seemed very attractive to A, B cut an attractive figure to A, B looked very attractive to B, B held an immense attraction for A"
release	11	A released B	"A freed B from capitivity, A let B out of its cage, A let B off its chain, A freed B from its prison"
are_disappointed_by	11	B disappointed A	"B thoroughly disappointed A, A was very disappointed in B, A considered B to be a big disappointment, A thought ""What a loser when looking at B, ""Could you be a bigger disappointment?"" asked A sarcastically, ""I'm very disappointed"" said A to B, ""I've let you down"" apologized B to A, ""You've let me down"" said B plaintively, A considered B a loser, A treated B as a failure, B's flaws became all too apparent to A, A wrote B off as a loser"
fear	11	A feared B	"A was frightened of B, B filled A with fear, A quaked with fear in B's presence, A shook with fear at thoughts of B, A was scared of B, A trembled with fear around B, B scared the life out of A,A was absolutely terrified of B, A quietly nurtured a deep fear of B, B scared the scat out of A"
obey	11	A obeyed B	"A obeyed B's orders, A became an obedient servant of B, A followed B's orders, A pledged obedience to B, A followed B's orders to the letter"
are_defeated_by	11	B defeated A	"B delivered a crushing defeat to A, B stomped A into the dust, B walked all over A, B convincingly defeated A, A was toast when B was finished, B made mincemeat out of A, B ground A into a fine dust, B decorated the walls with A's innards"
bribe	11	A bribed B	"A bribed B to look the other way, A gave B a bribe under-the-table "
hide_from	11	A hid from B	"A found a place to hide from B, A found the perfect hiding place from B, A snuck away to hide from B, A decided to get the hell outa Dodge"
are_cursed_by	11	B cursed A	"B cursed A and wished it harm, B prayed to the gods to strike down A, B hurled bitter curses at A, B prayed for foul things to befall A, B prayed for hell to open up and swallow A "
subjugate	11	A subjugated B	"A made B its bitch, A crushed B under its thumb, A kept B under its thumb, A kept B on a tight leash"
fight_against	11	A fought against B	"A put up a tremendous fight against B, A was determined to put up a fight against B, A would not go down to B without a fight"
