a	Letter	"To see the letter ""A"" in your dream represents the beginning of a new stage."											
abacus	Machine	To see or use an abacus in your dream refers to your outdated views.											
abalone	Invertebrate	To see or eat abalone in your dream indicates a transitional period in your life.											
abandonment	Action	To dream that you are abandoned suggests that it is time to leave behind past feelings and characteristics that are hindering your growth.											
abbey	Building	"To see an abbey in your dream signifies spirituality, peace of mind and freedom from anxiety."	To see an abbey in ruins indicates feelings of hopelessness.										
air_show	Unknown	To dream that you are in an air show implies that you are showing off your accomplishments to others.											
airbag	Unknown	To see the airbag in a vehicle deploy in your dream forewarns that you will run into a major setback if you keep the pace of your current life path.											
aircraft_carrier	Conveyance	To see an aircraft carrier in your dream suggests that you are preparing to confront your emotions.											
airplane	Conveyance	To see an airplane in your dream indicates that you will overcome your obstacles and rise to a new level of prominence and status.	To dream that you are flying an airplane suggests that you are in complete control of your destination in life.	To dream that an airplane is hijacked signifies disturbing feelings and past emotions in your subconscious mind.									
airport	Unknown	To see an airport in your dream symbolizes birth (arrivals) and death (departures).	To dream of a deserted airport indicates that your plans or goals will be changed or delayed.										
aisle	Place	To dream that you are walking down or through an aisle represents your ability to move forward in life with confidence.											
alabaster	Substance	To see alabaster in your dream represents success in your love life.	"To dream that you break an alabaster figurine signifies grief, sorrow, and regrets."										
aladdin	Unknown	To see or dream that you are aladdin represents realization of your goals or dreams.											
alarm	Tool	To hear or pull an alarm in your dream suggests that you are experiencing a conflict in a relationship or situation which is giving your much anxiety.											
alarm_clock	Tool	To see or hear an alarm clock in your dream represents your anxieties and fixation with time.											
albatross	Bird	To see an albatross in your dream represents endurance and freedom.	"To see a dying or dead albatross in your dream symbolizes bad luck and harsh, vulnerable times."										
albino	Person	To see an albino in your dream represents purity or eternal life.	To dream that you are afraid of the albino figure suggests that you are irrationally concerned about the well-being of a loved one.										
album	Unknown	To see an album in your dream indicates that you are surrounded by true friends.	To dream that you are looking through a photo album suggests that you are unwilling to let go of your memories and the past.										
alchemy	Unknown	"To dream of alchemy suggests that you are going through a period of turmoil, inner transformation, and self-renewal."											
alcohol	Food	To dream that you are enjoying alcohol in moderation denotes contentment and satisfaction in the decisions that you have made.	"To dream that you are consuming alcohol in excess signifies feelings of inadequacy, worries, regrets and fears of being discovered for who you really are."										
alder	Plant	To see an alder tree in your dream symbolizes joy and happiness.											
algae	Unknown	To see algae in your dream indicates that you need to leave your emotions out of some matter.											
alien	Person	To dream that you are being invaded or abducted by aliens indicates your fear of your changing surroundings or your fear of losing your home and family.	To see aliens in your dream signify that you are having difficulties adapting and adjusting to your new surroundings.										
alimony	Unknown	To dream that you are paying alimony means that you are paying for your past actions and mistakes.											
alley	Place	To see an alley in you dream suggests that you have limited options.	To dream that you are walking through an alley represents a dead-end.										
alligator	Animal	"To see an alligator in your dream symbolizes treachery, deceit, and hidden instincts."	To dream that you are running away from the alligator indicates that you are unwilling to confront some painful and disturbing aspect of your subconscious.	To dream that you are raped by an alligator indicates that you feel violated or taken advantage of in some way.									
allowance	Event	To dream of getting an allowance symbolizes the rewards of your work.											
alloy	Substance	To see an alloy in your dream indicates that you will experience some complications in your professional life.											
almanac	Unknown	To see an almanac in your dream represents the ups and downs of life.											
almond	Food	To see or eat almonds in your dream represent success and richness.											
alm	Unknown	To dream that you are giving alms represent your giving nature.											
aloe	Plant	To use aloe in your dream suggests that you are ready to heal from some emotional wound.											
alone	Unknown	To dream that you are alone indicates feelings of rejection.											
altar	Structure	To see the altar in your dream suggests that you are making a great personal sacrifice.	To see a priest at the altar in your dream signifies strife and disharmony in both your work and home.	To dream that you are kneeing in front of the altar represents unfulfilled desires.									
altar_boy	Person	To see or dream that you are an altar boy symbolizes innocence and purity.											
alum	Substance	To see alum in your dream signifies frustrations on plans that you have set for yourself.	To dream that you taste alum denotes that you have feelings of regret and remorse over the evil you have done onto an innocent person.										
aluminum	Substance	To see aluminum in your dream signifies your ability to retain what is valuable to you.											
alzheimer's_disease	Unknown	To dream that you or someone has Alzheimer's Disease refers to your fear of letting go of the past.											
ambassador	Person	To dream that you are an ambassador suggests that you need to be more diplomatic in a situation.											
amber	Substance	To see amber in your dream symbolizes the sun and positive energy.											
ambulance	Conveyance	To see an ambulance in your dream indicates that your careless activities and indiscretion may lead to major problems and complications.	To see an ambulance full of wounded passengers signifies a fear of letting go your old Self and making space for the new you.	To dream that someone is hit by an ambulance suggests that some aspect of your psyche is injured and needs immediate care and attention.									
ambush	Activity	To dream that you are lying in ambush indicates that you will use underhanded means to achieve your goals.											
amethyst	Substance	To see an amethyst in your dream signifies peace of mind and satisfaction in your professional and personal life.	To dream that you lose an amethyst signifies heartbreaks and disappointments in love.										
amish	Person	To see or dream that you are amish suggests that you need to concentrate on the more important things and basic necessities in life.											
ammonia	Substance	To see or smell ammonia in your dream indicates that there is some distressing or offensive matter that you need to confront.											
ammunition	Substance	To see ammunition in your dream suggests that you are utilizing your power to persuade or protect.											
amnesia	Unknown	To dream that you have amnesia suggests that you are trying to block out the rejected or negative aspect of yourself.											
amorous	Unknown	To dream that you are amorous symbolizes temptations.	To dream that others are amorous signifies that others will try to persuade you into illicit pleasures and abandon your own sense of morality.	To see animals amorous in your dream represent animalistic desires.									
amphisbaena	Unknown	To see an Amphisbaena in your dream suggests that you are being pulled in two different directions.											
amphitheater	Structure	To see or be in an amphitheater in your dream refers to the spreading of some wisdom or knowledge.											
amplifier	Unknown	To see an amplifier in your dream represents your need to be heard.											
amputation	Activity	"To dream that your limbs are amputated signifies abandoned talents and serious, permanent losses."											
amulet	Unknown	To see or wear an amulet in your dream indicates your need to feel protected.											
amusement_park	Place	To see or be in an amusement park in your dream indicates that you need to set some time for more relaxation and enjoyment in your life.	To dream that the amusement park is empty or abandoned suggests that you need to open yourself to more fun and adventure.	To dream that the rides at the amusement park are breaking down means that something in your life is not going as expected.	To dream that the amusement park is closed suggests that you are denying yourself your time for fun and leisure.								
anaconda	Animal	To see an anaconda in your dream symbolizes your creativity and potential.											
anal_sex	Unknown	To dream about anal sex represents submission.											
analyst	Person	To dream that you are an analyst suggests that you need to take a closer look at your behavior and actions.	To see an analyst in your dream indicates that you are not acting appropriately in some situation in your life.										
anarchy	Unknown	To see anarchy in your dream suggests that you need to show some restraint when expressing yourself.											
ancestor	Person	To dream about your ancestors suggest that you are acknowledging your inherited traits and tradition.											
anchor	Tool	To see an anchor in your dream signifies stability and security.											
ancient	Person	To dream of an ancient theme symbolizes your sense of foundation.											
andirons	Unknown	To see andirons supporting burning logs in your dream indicate that you have the support of your friends and family.											
androgynous	Unknown	To see an androgynous person in your dream suggests that you are looking to bring together opposing sides and views.											
anecdote	Event	To tell or read an anecdote in your dream indicates that there is some life lesson or moral that you need to learn or recognize.											
anesthesia	Unknown	To be under anesthesia in your dream suggests that you are trying to suppress your emotions instead of confronting them.											
aneurysm	Illness	To dream that you have an aneurysm indicates that you are under some sort of pressure.											
angel	Person	"To see angels in your dream symbolize goodness, purity, protection, comfort and consolation."											
anger	Activity	To dream that you are holding or expressing anger symbolizes frustrations and disappointments in your Self.											
angling	Activity	To dream that you are angling is a good omen of fortune and luck.											
animal	Animal	"To see animals in your dream represent your own physical characteristic, primitive desires, and sexual nature, depending on the qualities of the particular animal."											
animation	Activity	To dream that you are watching animation suggests that you can find the humor and comedy in most situations.											
anime	Substance	To dream that you are watching anime represents your carefree attitude.	To dream that you are an anime character suggests that you need to be more expressive.										
animosity	Unknown	To dream that there is animosity towards you suggests that you need to reevaluate a situation and rethink your issues of morality.											
ankh	Unknown	"To see an ankh in your dream symbolizes empowerment, infinite knowledge, sexual connection or eternity."											
ankle	Body_Part	To sprain your ankle in your dream suggests that you are experiencing some obstacles or difficulties in your progress.											
ankle_monitor	Unknown	To see or dream that you are wearing an ankle monitor indicates that you are feeling scrutinized about every step or decision your make.											
anklet	Unknown	To see or wear an anklet in your dream refers to the way that your life going and the decisions you made to get to where you are.											
anniversary	Unknown	To dream about your anniversary represents acceptance or appreciation of some aspect of yourself.											
annulment	Action	To dream that you are getting an annulment suggests that you are in denial about something.											
anorexia	Illness	To dream that you have anorexia represents your lack of self-acceptance and self-esteem.											
answering_machine	Tool	To see an answering machine in your dream suggests that you are not listening to a message that someone around you is trying to convey.											
antarctica	Place	To dream that you are in Antarctica represents the challenges and hardships in your waking life and your ability to endure it all.	"To dream that you live in Antarctica symbolizes your tenacity and drive, even though the odds may be against you."										
anteater	Animal	To see an anteater in your dream indicates that you need to proceed with caution in some endeavor.											
antelope	Animal	To see an antelope in your dream suggests that your high ambitions will only be achieved through a great expenditure of energy.	To see an antelope collapse in your dream means that you are at fault for a broken-up love affair.										
antenna	Body_Part	To see an antenna in your dream represents your communication with your surroundings.											
anthill	Unknown	To see an anthill in your dream suggests that you are trying to avoid doing any hard work.											
antibiotic	Substance	To dream that you are taking antibiotics suggests that there is some negativity that you are trying to protect yourself against.											
antidote	Substance	To dream that you need an antidote suggests that you are seeking some sort of balance in your life.											
antifreeze	Substance	To see or use antifreeze in your dream suggests that you are being emotionally cold and perhaps need to warm up to others more.											
antiseptic	Substance	To dream that you are using an antiseptic symbolizes healing and cleansing.											
antler	Body_Part	"To see antlers in your dream are representative of masculine sexuality, male aggression and assertiveness."											
ant	Invertebrate	To see ants in your dream signify your general dissatisfaction in your daily life.											
anubis	Unknown	To see Anubis in your dream indicates you are in search of clarity.											
anus	Body_Part	To see your anus in your dream signifies negative emotions that you may be holding in and repressing.											
anvil	Body_Part	"To see an anvil in your dream signifies that you hold the power and key to your own success, although you will surely have to go through some struggle and difficulty to achieve your success."	To see a broken anvil in your dream denotes that you have let promising opportunities pass you by forever.										
anxiety	Unknown	To experience anxiety in your dream is a reflection of what you may be feeling during your waking life.											
apartment	Structure	To dream about an apartment refers to your financial or emotional state.											
apocalypse	Event	To dream of the apocalypse signifies an emotional and dramatic change taken place within yourself.											
apollo	Unknown	To see Apollo in your dream represents growth.											
apparition	Action	To see an apparition in your dream symbolizes your spirit for life.											
appear	Unknown	To dream that things appear out of no where suggests that you need to utilize your intellect in a more creative and productive way.											
appearance	Action	To dream about your appearance indicates concerns over how others perceive you.											
appetite	Unknown	To dream of your appetite suggests that there is an area if your life that remains unfulfilled.											
applause	Unknown	To hear applause in your dream indicates that you are seeking acclaim and recognition.											
apple_tree	Plant	To see an apple tree in your dream symbolizes grandeur and magnificence.											
apple	Food	"To see apples growing in a tree in your dream symbolize knowledge, wisdom and great prosperity."	To see green apples represent developing love or love that has yet to blossom.	"To see rotten or eaten apples in your dream, indicates that whatever you are striving and aiming for may not be fulfilling, and even harmful to you."									
appliance	Tool	To fix an appliance in your dream represents your need to work on your relationship and prevent it from falling apart.											
application	Activity	To dream that you are filling out an application indicates that you are lacking something in your life.											
appointment	Action	To dream that you are going to an appointment suggests that you need to be more goal-oriented.											
apprentice	Person	To dream that you are an apprentice suggests that you will have to prove yourself in order to gain acceptance from your colleagues.											
approval	Activity	To dream that you are looking for approval from someone indicates that you have some dependency issues.											
apricot	Food	To dream that you are eating an apricot forewarns of approaching misfortune.											
april	Unknown	To dream of the month of April denotes pleasure and profit are in store for you.											
apron	Place	To see an apron in your dream suggests that you or someone is making a commitment to work on some familial task.	To wear an apron in your dream indicates that you are in a submissive position.										
aquamarine	Substance	"To see aquamarine in your dream symbolizes youth, vitality, creativity, and hope."											
aquarium	Unknown	To see an aquarium in your dream signifies that you have acknowledged your emotions but have not yet confronted them.											
aquarius	Place	"To dream that someone is an Aquarius represents new ideas, individuality and innovation."											
aqueduct	Place	To see an aqueduct in your dream symbolizes your spiritual path.											
arbiter	Person	To dream that you are an arbiter refers to your control and power over some matter.	To see or work with an arbiter in your dream implies that you are feeling powerless.										
arc	Unknown	To see or draw an arc in your dream implies that you are experiencing some setbacks in your plans or goals.											
arcade	Structure	To see or dream that you are at an arcade suggests that you need to look back to a previous event or experience that brought you much joy and amusement.											
arch	Structure	To see an arch in your dream represents your support system.	To dream that you are passing under an arch signifies new opportunities.										
archaeology	Unknown	To dream about archaeology indicates your discovery and acknowledgement of your subconscious.											
archaeologist	Person	To dream that you are an archaeologist suggests that you need to learn from past experiences or that you need to look to the past to find answers to present issues.											
archbishop	Person	To see an archbishop in your dream suggests that someone has power over you and are making you do things that you do not necessarily want to do.											
archery	Activity	To see archery in your dream suggests that you are setting your goals and planning your direction in life.											
architect	Person	To see an architect in your dream indicates that your creativity is being put to work.	To dream that you are an architect suggests your need for visual stimulation.										
arctic	Place	To dream that you are in the Arctic symbolizes your emotional state.											
arena	Place	To see or dream that you are in an arena indicates that you need to be in an environment where you can freely express yourself.											
argyle	Unknown	To see argyle in your dream refers to your methodical thinking and analytical mind.											
aries	Place	To dream that someone is an Aries suggests new beginnings and growth.											
arithmetic	Unknown	To dream about arithmetic indicates that you are evaluating a situation in your waking life where you need to be more rational in your thinking.	"To dream that you are unable to solve an arithmetic problem or equation, parallels a waking problem where you may be confused about."										
ark	Conveyance	To see an ark in your dream represents rebirth preservation and protection of something valuable.											
arm	Tool	To dream that your arm has been injured signifies your inability to care for yourself or your helplessness in reaching out to others.											
arm_wrestling	Unknown	To dream that you are arm wrestling implies that there is a waking situation that requires you to be more hands on.											
armadillo	Animal	To see an armadillo in your dream represents your need to establish certain boundaries.											
armageddon	Event	To dream about Armageddon suggests that you are feeling hopeless and out of control.											
armchair	Unknown	To see or sit in an armchair in your dream indicates that you are completely secure about your status and position in your waking life.											
armor	Unknown	To dream that you are wearing an armor symbolizes your defense mechanisms.	To see armor in your dream indicates insecurity.										
armored_car	Conveyance	To see or drive an armored car in your dream suggests that you are feeling insecure about the progress you have made so far in life.											
armpit	Body_Part	To see/notice your or someone else's armpit in your dream represents your social connections and your relationships to others.	To smell your armpit in your dream indicates that you are making some character adjustments in order to smooth over a situation or relationship.										
army	Unknown	To see the army in your dream symbolizes an overpowering force working against you.	To dream that you join the army suggests your feelings of superiority.										
aroma	Unknown	To smell certain aromas in your dream represents past experiences and feelings that you associate with that particular aroma.											
arranged_marriage	Unknown	To dream that you are in an arranged marriage suggests that you are feeling forced to do something you do not want to do.											
arrested	Unknown	To dream that you are being arrested indicates issues of control and restraint.											
arrow	Weapon	To see an arrow in your dream represents the targets you are reaching for and the goals you are setting for yourself.	To see an old or broken arrow symbolizes disappointments and severed relationships.	To see a two-headed arrow in your dream signifies opposing ideas and viewpoints.									
arrowhead	Place	"To see an arrowhead in your dream symbolizes your determination, direction and goal."	To see a broken arrowhead in your dream represents failure in moving toward your goals.										
arson	Action	To dream about an arson represents unexpressed rage that has the potential to become destructive.											
art_class	Activity	To dream that you are in an art class means that you need to learn to express yourself in a more creative way.											
art_gallery	Structure	To dream that you are in an art gallery represents your past experiences.											
artery	Place	To see your arteries in your dream symbolize how well you carry yourself and your ability to reach out to others.											
arthritis	Illness	To dream that you have arthritis indicates that you are having difficulties achieving your goals.											
artichoke	Substance	To see or eat an artichoke in your dream suggests that you need to get to the heart of some matter.											
artifact	Unknown	To see or find an artifact in your dream symbolizes an aspect of your former self that you still have not completely let go.											
artist	Person	To dream that you are an artist painting a picture signifies the creative and intuitive side of your character.											
artwork	Unknown	To dream that you are buying artwork suggests that you are willing to work hard and follow directions.	To dream that you are selling artwork represents your ability to express yourself and your beliefs.										
ascend	Unknown	To see something ascend in your dream indicates that you need to have a better or broader outlook on life.											
ash_tree	Plant	"To see an ash tree in your dream represents stability, protection, unity and solidarity."											
ash	Plant	"To see ashes in your dream signify disappointments, regrets, bitter changes and disruptions."											
ashram	Place	To see or dream that you are in an ashram refers to your need for spiritual renewal and healing.											
ashtray	Unknown	To see or use an ashtray in your dream suggests that you are trying to rid yourself of former feelings/memories and your old ways.											
asia	Place	To dream that you are in Asia suggests that you need to adjust to some situation.											
ask	Unknown	To dream that you are asking someone out on a date reflects your anxieties about really asking this person out.											
asp	Animal	"To see an asp in your dream symbolizes misfortune, loss of honor and respect, and hostility amongst friends and loved ones."											
asparagus	Substance	To see asparagus in your dream symbolizes prosperity.	To eat asparagus in your dream indicates that your actions will result in an unpleasant outcome.										
aspen	Plant	To see an aspen in your dream indicates loneliness.											
ass	Animal	To see an ass in your dream signifies a lack of understanding.	"To see an ass carrying burdens in your dream signifies that after much patience and hard work, you will succeed in your professional and personal life."										
assassin	Person	To dream that you are an assassin implies that you are trying to kill an aspect of yourself.											
assembly	Activity	To dream that you are at an assembly suggests that you are learning to accept and integrate the various aspects of yourself.											
assistance	Activity	"To dream that you are giving assistance to someone suggests that you are being called on for support, either emotional support or physical support."											
asteroid	Unknown	To see an asteroid in your dream represents a spiritual message from above.											
asters	Unknown	"To see asters in your dream symbolize your hopes, wishes, and your dreams."											
astral_projection	Unknown	To dream of astral projection suggests that you are looking at things from a whole new perspective.											
astrology	Unknown	To dream about astrology suggests that you are concerned about your future.											
astronaut	Person	To see or dream that you are an astronaut indicates that you are expanding your awareness and consciousness.											
astronomer	Person	To see or dream that you are an astronomer indicates that you will achieve your goals slowly but surely.											
aswang	Unknown	To see an aswang in your dream indicates that you are feeling vulnerable and/or untrusting of others.	To dream that you are an aswang implies that you are utilizing deception and underhanded means to get what you want.										
asylum	Building	To dream that you are at an asylum suggests that you are feeling tremendous mental strain and are trying to reach out for help.											
athlete	Person	To dream that you are an athlete suggests that you have pushed yourself to the limits.	To see a famous athlete in your dream refers to a larger than life attitude.										
athletic_field	Place	To see or dream that you are on an athletic field represents the challenges that you are facing in your waking life.											
atlas	Tool	To dream that you are looking at an atlas indicates your attention to details.											
atm_machine	Unknown	To see or use an ATM Machine in your dream represents your desires for financial security.	To dream that the ATM Machine gives you more money that you were due refers to your inflated ego.										
atom	Substance	To see an atom in your dream symbolizes unlimited potential.											
attack	Action	To dream that you attack someone represents pent-up frustration and anger.	To dream that you are being attacked by someone indicates your character is being questioned.										
attic	Structure	To see an attic in your dream represents hidden memories or repressed thoughts that are being revealed.	To see a cluttered attic in your dream is a sign to organize your mind and thoughts.										
attorney	Person	To see an attorney in your dream suggests that you are seeking guidance and advice.											
atv	Unknown	To see or ride an ATV in your dream indicates your desire to get off the beaten path.											
auction	Event	To dream that you are at an auction indicates that you may be undervaluing or overvaluing something or some relationship.	To dream that someone outbid you in an auction suggests that you are being denied something that you have earned.	To dream that no one is bidding at an auction suggests that your opinions and ideas are not appreciated.									
audience	Unknown	To dream that you are in front of an audience represents the world around you and how it is paying close attention to your actions.	To dream that you have no audience denotes that you are not being acknowledged for your work or achievements.										
audition	Activity	To dream that you are at an audition indicates feelings of insecurity and vulnerability.											
auditorium	Structure	To dream that you are in an auditorium indicates that there is something that you need to learn from others.											
auger	Tool	To see an auger in your dream signifies difficulties hard work and struggles.											
august	Unknown	To dream of the month of August suggests that there is some misunderstanding in a personal relationship or business situation.											
aunt	Person	"To see your aunt in your dream represents family connection, heritage and value."											
aura	Illness	To see an aura around you or someone else indicates that some important information is being relayed to you in the dream.											
aurora_borealis	Unknown	"To see the aurora borealis in your dream represents renewed energy, vitality, awe, insight and youth."											
australia	Place	To dream about or that you are in Australia suggests that you are being pulled toward opposite directions.											
author	Person	"To see an author in your dream suggests that your mind is preoccupied with some story, essay, or report that you are working on."	To dream that you are an author indicates that you need to better express your opinions.										
autism	Illness	To dream that you or someone has autism indicates that you are having problems communicating your feelings and thoughts to others.											
autograph	Unknown	To dream that you are asking for an autograph indicates your desire to be like the person whose autograph you seek.	To dream that someone is asking for your autograph suggests that you are giving your consent or approval to someone.										
autumn	Unknown	To dream of autumn represents the cycle of life - something is about to come to an end and something new will begin.											
autopsy	Activity	To see an autopsy in your dream suggests that you are disconnected from your feelings or devoid of emotions.											
avalanche	Event	To see an avalanche in your dream signifies your raging emotions which have been held back and repressed for a long time.											
aviary	Building	To dream that you are in an aviary indicates a decreased sense of freedom.											
avocado	Food	"To see or eat an avocado in your dream symbolizes lust, sexuality, fertility, potential, and continuity of life."	To see an avocado tree in your dream suggests that you will be well rewarded if you devote some time and effort to some goal or project.										
awaken	Unknown	To awaken in your dream represents a spiritual rebirth.	To dream that you awaken someone up suggests that you are acknowledging core aspects of that person within your own self.										
awakening	Action	To dream that you have an awakening signifies that new ideas will be realized.											
