help	exploited_by	abandon, turn_against,take_aim_at
are_evaluated_by	lick_up_to, kiss_up_to, flatter	are_appointed_by
are_abused_by	stand_up_to	are_arrested_for_killing, are_arrested_for_hurting
are_beaten_by	attack	are_arrested_for_killing, are_arrested_for_hurting
are_betrayed_by	silence	are_arrested_for_killing, are_arrested_for_hurting
are_betrayed_by	track_down	are_arrested_for_killing, are_arrested_for_hurting
are_corrupted_by	disagree_with	are_arrested_for_killing, are_arrested_for_hurting
are_denounced_by	attack	are_arrested_for_killing, are_arrested_for_hurting
are_driven_mad_by	stalk	are_arrested_for_killing, are_arrested_for_hurting
are_facilitated_by	argue_with	are_arrested_for_killing, are_arrested_for_hurting
are_fired_by	murder	are_arrested_for_killing
are_humiliated_by	attack	are_arrested_for_killing, are_arrested_for_hurting
are_ruined_by	abduct	are_arrested_for_killing, are_arrested_for_hurting
are_stalked_by	threaten, sue, taunt	are_arrested_for_killing, are_arrested_for_hurting
are_taunted_by	attack	are_arrested_for_killing, are_arrested_for_hurting
are_threatened_by	attack, murder	are_arrested_for_killing, are_arrested_for_hurting
are_underestimated_by	lay_a_trap_for	are_cursed_by
arrest	are_insulted_by, are_attacked_by	are_arrested_for_killing
denounce	are_attacked_by	are_arrested_for_killing
take_up_with	are_betrayed_by	are_arrested_for_killing
are_ignored_by	threaten	are_attacked_by
are_unimpressed_by	criticize, mock, taunt	are_attacked_by
are_advised_by	listen_to, learn_from, look_up_to	are_attracted_by
are_defrocked_by	beg_forgiveness_from, seek_forgiveness_from	are_banished_by
are_denounced_by	beg_forgiveness_from, seek_forgiveness_from	are_banished_by
are_ennobled_by	disagree_with, betray, cheat	are_banished_by
are_exorcized_by	cry_for	are_banished_by
are_nurtured_by	disappoint	are_banished_by
are_rebuffed_by	threaten, criticize, attack	are_banished_by
are_recalled_by	beg_forgiveness_from, seek_forgiveness_from	are_banished_by
are_challenged_by	attack	are_beaten_by
are_enslaved_by	stand_up_to, disobey	are_beaten_by
are_failed_by	sue, condescend_to	are_beaten_by
are_interrogated_by	lie_to, deceive	are_beaten_by
are_protected_by	fail_to_deliver_for	are_beaten_by
are_pushed_too_far_by	disobey	are_beaten_by
are_repaid_by	condescend_to	are_beaten_by
are_rescued_by	disgust, argue_with, criticize	are_beaten_by
are_saved_by	disagree_with, disappoint	are_beaten_by
are_spoiled_by	insult, disrespect	are_beaten_by
are_tended_by	turn_against	are_beaten_by
are_threatened_by	stand_up_to	are_beaten_by
are_tipped_by	insult, disrespect, condescend_to	are_beaten_by
are_cut_off_by, are_spoiled_by, are_failed_by	spread_lies_about	are_beaten_by
are_treated_by	condescend_to	are_beaten_by
are_accompanied_by	fall_in_love_with	are_betrayed_by
are_brainwashed_by	kill_for	are_betrayed_by
are_championed_by	disappoint, disgust, condescend_to	are_betrayed_by
are_corrupted_by	conspire_with	are_betrayed_by
are_counseled_by	disgust, disrespect	are_betrayed_by
are_defended_by	condescend_to, overwork	are_betrayed_by
are_deflowered_by	marry	are_betrayed_by
are_escorted_by	condescend_to	are_betrayed_by
are_flattered_by	favor, show_loyalty_to, fall_in_love_with, confide_in	are_betrayed_by
are_impressed_by	promote, advise, coach, teach	are_betrayed_by
are_protected_by	disgust, condescend_to	are_betrayed_by
are_scripted_by	disagree_with	are_betrayed_by
are_served_by	fail_to_reward	are_betrayed_by
are_supported_by	trust, confide_in	are_betrayed_by
are_unimpressed_by	underestimate	are_betrayed_by
are_waited_upon_by	condescend_to, fail_to_reward	are_betrayed_by
are_cut_off_by	starve	are_bitten_by
are_corrupted_by	trust, confide_in	are_blackmailed_by
are_enticed_by	sleep_with	are_blackmailed_by
are_escorted_by	sleep_with	are_blackmailed_by
are_followed_by	lead_astray, confide_in	are_blackmailed_by
are_investigated_by	lie_to, deceive	are_blackmailed_by
are_copied_by	lead_astray	are_booed_by
listen_to	are_lectured_by	read_the_works_of
are_lectured_by	listen_to, read_the_works_of	are_bored_by, are_indoctrinated_by
are_pitied_by	complain_to	are_bored_by
are_rewarded_with	take_advantage_of	are_bored_by
are_wooed_by	marry	are_bored_by
condescend_to	are_lectured_by	are_bored_by
are_enticed_by	bow_down_to	are_bought_off_by
are_sought_by	negotiate_with	are_bought_off_by
are_counseled_by	disagree_with, argue_with	are_bought_off_by
are_dismissed_by	sue, testify_against	are_bought_off_by
are_evicted_by	threaten, sue, insult	are_bought_off_by
are_funded_by	praise, lie_for, testify_for	are_bought_off_by
are_baptized_by	cede_power_to	are_brainwashed_by
are_handled_by	identify_with	are_brainwashed_by
are_indoctrinated_by	believe_in	are_brainwashed_by
are_kidnapped_by	identify_with	are_brainwashed_by
are_recruited_by	show_loyalty_to, identify_with	are_brainwashed_by
are_chased_by	underestimate	are_captured_by
are_hunted_by	underestimate	are_captured_by
are_trusted_by	disappoint, steal_from	are_censured_by
are_unimpressed_by	disappoint, insult, taunt, fail_to_deliver_for	are_challenged_by
are_driven_around_by	condescend_to	are_cheated_by
are_evaluated_by	impress, suck_up_to, flatter, kiss_up_to	are_chosen_by
are_interviewed_by	pay_off, impress, blackmail	are_chosen_by
are_evaluated_by	lick_up_to, kiss_up_to, impress, flatter	are_coached_by
are_enchanted_by	welcome, let_in	are_conquered_by
are_impressed_by	welcome, let_in	are_conquered_by
are_studied_by	inspire	are_copied_by
are_taught_by	inspire, impress	are_copied_by
are_toppled_by	inspire	are_copied_by
are_tutored_by	impress, inspire	are_copied_by
are_advised_by	trust, listen_to	are_corrupted_by
are_appointed_by	lie_for	are_corrupted_by
are_assisted_by	fall_in_love_with	are_corrupted_by
are_bought_off_by	cede_power_to, bow_down_to	are_corrupted_by
are_bought_off_by	cede_power_to, profit_from	are_corrupted_by
are_enlisted_by	trust, fight_for	are_corrupted_by
are_favored_by	lie_for	are_corrupted_by
are_flattered_by	fall_in_love_with, sleep_with, trust	are_corrupted_by
are_handled_by	show_loyalty_to	are_corrupted_by
are_indoctrinated_by	lie_for	are_corrupted_by
are_inspired_by	learn_from, identify_with, look_up_to	are_corrupted_by
are_led_by	trust, look_up_to	are_corrupted_by
are_mentored_by	learn_from	are_corrupted_by
are_molded_by	conspire_with	are_corrupted_by
are_suppressed_by	settle_with	are_corrupted_by
are_taught_by	worship, mimic	are_corrupted_by
are_traumatized_by	harden_toward, identify_with	are_corrupted_by
are_tricked_by	learn_from	are_corrupted_by
are_blessed_by	rebel_against, turn_against	are_cursed_by
are_funded_by	fail_to_deliver_for, disappoint, lie_to, steal_from	are_cut_off_by
are_supplied_by	steal_from, lie_to, take_advantage_of, refuse_to_pay	are_cut_off_by
are_visited_by	rebuff, insult, offend, take_advantage_of	are_cut_off_by
are_educated_by	trust, listen_to	are_deceived_by
are_guided_by	trust, look_up_to	are_deceived_by
are_instructed_by	learn_from, look_up_to	are_deceived_by
are_seduced_by	fall_in_love_with, sleep_with	are_deflowered_by
are_wooed_by	fall_in_love_with, favor	are_deflowered_by
are_ordained_by	disgust, undermine, disagree_with, misrepresent, brief_against	are_defrocked_by
answer_questions_from	are_contradicted_by	are_denounced_by
are_chronicled_by	fail_to_impress	are_denounced_by
are_disillusioned_by	break_with	are_denounced_by
are_examined_by	lie_to, deceive, condescend_to	are_denounced_by
are_favored_by	disappoint, undermine, disagree_with, misrepresent, brief_against, spread_lies_about	are_denounced_by
are_hindered_by	insult, mock	are_denounced_by
are_investigated_by	lie_to, deceive	are_denounced_by
are_roused_by	fail_to_deliver_for, disappoint	are_humiliated_by
are_manipulated_by	criticize, harden_toward	are_denounced_by
are_marketed_by	fire, dump, break_with	are_denounced_by
are_probed_by	lie_to	are_denounced_by
are_prosecuted_by	spread_lies_about, threaten	are_denounced_by
are_questioned_by	lie_to, deceive	are_denounced_by
are_remembered_by	disappoint, alienate	are_denounced_by
are_studied_by	disappoint	are_denounced_by
are_sued_by	countersue	are_denounced_by
are_supplanted_by	spread_lies_about	are_denounced_by
are_trusted_by	betray, trick, deceive, exploit, profit_from	are_denounced_by
are_venerated_by	disappoint, disgust, condescend_to	are_denounced_by
work_with	disagree_with	are_denounced_by
are_served_by	exploit, overwork, oppress	are_deposed_by
are_upstaged_by	spread_lies_about, threaten	are_deposed_by
imprison	release, spread_lies_about	are_deposed_by
are_disappointed_by	insult, condescend_to, heckle, laugh_at	are_despised_by
are_elected_by	fail_to_deliver_for, disappoint	are_despised_by
are_feared_by	taunt	are_despised_by
are_worshipped_by	fail_to_deliver_for, disappoint, disappoint, fail_to_impress	are_despised_by
are_underpaid_by	steal_from, cheat	are_uncovered_by
are_interviewed_by	seek_advice_from, confer_with	are_diagnosed_by
are_abandoned_by	lose_faith_in	are_disillusioned_by
are_brainwashed_by	argue_with, disagree_with, grow_suspicious_of	are_disillusioned_by
are_indoctrinated_by	grow_suspicious_of	are_disillusioned_by
are_led_by	grow_suspicious_of	are_disillusioned_by
are_radicalized_by	kill_for	*sacrifice
are_radicalized_by	kill_for	are_disillusioned_by
are_radicalized_by	die_for	*are_haunted_by
are_radicalized_by	grow_suspicious_of	are_disillusioned_by
are_impressed_by	worship, mimic	are_radicalized_by
are_appointed_by	disappoint, undermine, disagree_with, disrespect	are_dismissed_by
are_chosen_by	disappoint, fail_to_deliver_for	are_dismissed_by
are_commanded_by	disrespect, steal_from	are_dismissed_by
are_handled_by	fail_to_deliver_for, disappoint, fail_to_impress, spread_lies_about	are_dismissed_by
are_published_by	embarrass, spread_lies_about, lie_to, misrepresent	are_dismissed_by
are_pushed_too_far_by, are_overworked_by	complain_to, stand_up_to	are_dismissed_by
are_recruited_by	disappoint, alienate, fail_to_deliver_for, fail_to_impress, steal_from	are_dismissed_by
are_sought_by	disgust, argue_with	are_dismissed_by
are_trusted_by	lead_astray, lie_to, deceive, cheat	are_dismissed_by
are_interviewed_by	lie_to, deceive	are_disqualified_by
are_picked_by	condescend_to, take_advantage_of, exploit, deceive	are_disqualified_by
are_flattered_by	fail_to_deliver_for, disappoint, fail_to_impress	are_disrespected_by
are_respected_by	corrupt, indoctrinate, lead_astray	are_disrespected_by
are_taunted_by	lick_up_to, kiss_up_to, suck_up_to,  curry_favor_with	are_disrespected_by
are_visited_by	welcome, let_in	are_disrespected_by
are_haunted_by	resent, fear, hate, despise	are_driven_mad_by
are_haunted_by	beg_forgiveness_from, seek_forgiveness_from, sacrifice_to	are_driven_mad_by
are_disillusioned_by	mock, insult, criticize	are_dumped_by
are_fielded_by	fail_to_deliver_for, disappoint, fail_to_impress	are_dumped_by
are_funded_by	fail_to_deliver_for, disappoint, lie_to, steal_from	are_dumped_by
are_loved_by	insult, disrespect	are_dumped_by
are_marketed_by	disappoint, disillusion, take_advantage_of, 	are_dumped_by
are_promoted_by	disappoint, disillusion, take_advantage_of, 	are_dumped_by
are_published_by	embarrass, spread_lies_about, fail_to_deliver_for	are_dumped_by
are_selected_by	disappoint, condescend_to, fail_to_deliver_for	are_dumped_by
are_signed_by	disappoint, fail_to_deliver_for	are_dumped_by
are_supervised_by	fail_to_deliver_for, disappoint, spread_lies_about	are_dumped_by
are_trained_by	insult, disrespect, fail_to_deliver_for, fail_to_impress, fail_to_reward	are_dumped_by
are_transported_by	insult, disrespect	are_dumped_by
are_trusted_by	take_advantage_of	are_dumped_by
are_wooed_by	fall_in_love_with	are_dumped_by
are_accommodated_by	disrespect, steal_from	are_ejected_by
are_bored_by	heckle, complain_to	are_ejected_by
are_cared_for_by	exploit, steal_from, spread_lies_about	are_ejected_by
are_received_by	insult, offend, condescend_to	are_ejected_by
are_flattered_by	flirt_with, sleep_with	are_enchanted_by
are_bought_off_by	cede_power_to, bow_down_to, obey	are_enslaved_by
are_defeated_by	curry_favor_with, beg_forgiveness_from, seek_forgiveness_from	are_enslaved_by
are_enchanted_by	show_loyalty_to, fall_in_love_with	are_enslaved_by
are_mocked_by	agree_with, identify_with	are_entertained_by
are_chosen_by	trust, welcome	are_enticed_by
are_impressed_by	hire, recruit	are_escorted_by
are_sought_by	confer_with, talk_to	are_evaluated_by
are_accommodated_by	disrespect, steal_from	are_evicted_by
are_blessed_by	rebel_against, turn_against	are_excommunicated_by
are_killed_by	haunt	are_exorcized_by
are_commanded_by	disappoint, undermine, disagree_with	are_expelled_by
are_converted_by	disagree_with, disappoint	are_expelled_by
are_conquered_by	work_for, settle_with, bow_down_to, cede_power_to	are_exploited_by
are_impressed_by	marry, sleep_with	are_exploited_by
are_mystified_by	worship, pray_to, sacrifice_to	are_exploited_by
are_subdued_by	cede_power_to, bow_down_to, curry_favor_with	are_exploited_by
are_represented_by	cede_power_to	are_exploited_by, are_misrepresented_by, are_pushed_too_far_by
are_persuaded_by	show_loyalty_to, agree_with	are_exploited_by, are_pushed_too_far_by
are_disrespected_by	curry_favor_with, bribe, blackmail, pay_off	are_favored_by
are_graded_by	pay_off, bribe, blackmail	are_favored_by
are_inspired_by	worship, pray_to, sacrifice_to	are_favored_by
are_interviewed_by	pay_off, impress, blackmail	are_favored_by
are_rebuffed_by	lick_up_to, kiss_up_to, suck_up_to,  curry_favor_with	are_favored_by
are_bitten_by	starve	are_feared_by
are_exploited_by	turn_against, stand_up_to	are_feared_by
are_hardened_by	campaign_against	are_feared_by
are_incarcerated_by	campaign_against	are_feared_by
are_mocked_by	stand_up_to	are_feared_by
are_punished_by	testify_against	are_feared_by
are_pushed_too_far_by	turn_against, rise_against	are_feared_by
are_represented_by	disgust, threaten	are_feared_by
are_resisted_by	terrorize	are_feared_by
are_ruled_by	learn_from	are_feared_by
are_worshipped_by	abuse	are_feared_by
are_favored_by	disappoint, undermine, disagree_with, misrepresent, brief_against, spread_lies_about, steal_from	are_fired_by
are_hired_by	fail_to_deliver_for, disappoint, lie_to, cause_trouble_for, misrepresent	are_fired_by
are_hired_by	steal_from, take_advantage_of	are_fired_by
are_paid_by	steal_from, lie_to, take_advantage_of, spread_lies_about	are_fired_by
are_promoted_by	condescend_to, alienate, upstage	are_fired_by
are_pushed_too_far_by	fail_to_deliver_for, fail_to_impress	are_fired_by
are_retained_by	condescend_to, fail_to_deliver_for, fail_to_impress	are_fired_by
are_trusted_by	lead_astray, lie_to, deceive, cheat	are_fired_by
are_underpaid_by	stand_up_to, criticize, negotiate_with	are_fired_by
are_used_by	disgust, disappoint, steal_from, fail_to_deliver_for	are_fired_by
are_pursued_by	elude, pay_off, buy_off, bribe, blackmail	are_forgotten_by
are_worshipped_by	fail_to_impress	are_forgotten_by
are_pursued_by	hide_from	are_found_by
are_exploited_by	obtain_sympathy_from, appeal_to	are_freed_by
are_enslaved_by	obtain_sympathy_from, appeal_to, buy_off	are_freed_by
are_detained_by, are_imprisoned_by, are_abducted_by	obtain_sympathy_from, are_pitied_by	are_freed_by
are_coached_by	impress	are_handled_by
are_interviewed_by	impress	are_handled_by
are_assaulted_by	stand_up_to	are_hardened_by
are_attacked_by	struggle_with, resist, learn_from	are_hardened_by
are_cheated_by	testify_against	are_hardened_by
are_hurt_by	campaign_against, stand_up_to, sue	are_hardened_by
are_influenced_by	learn_from, identify_with, look_up_to	are_hardened_by
are_molded_by	conspire_with	are_hardened_by
are_subjugated_by	learn_from	are_hardened_by
are_arrested_for_killing	testify_against	are_haunted_by
are_arrested_for_killing	mourn_for	are_haunted_by
are_cursed_by	kill	are_haunted_by
are_unimpressed_by	sacrifice, abandon	are_haunted_by
are_hindered_by	bribe, blackmail, pay_off, buy_off	are_helped_by
are_helped_by	refuse_to_pay, withhold_payment_from	are_hindered_by
are_attacked_by	cede_power_to, surrender_to	are_humiliated_by
are_beaten_by	surrender_to, cede_power_to	are_humiliated_by
are_bored_by	heckle	are_humiliated_by
are_criticized_by	lick_up_to, kiss_up_to, flatter	are_humiliated_by
are_uncovered_by, are_found_by	bribe, blackmail, pay_off, buy_off	are_forgotten_by
are_uncovered_by, are_found_by	seek_forgiveness_from, surrender_to	are_investigated_by, are_censured_by
are_entertained_by	insult, condescend_to, heckle, laugh_at	are_humiliated_by, are_booed_by
are_insulted_by	stand_up_to	are_respected_by
are_insulted_by	stand_up_to	are_humiliated_by
are_motivated_by	fail_to_deliver_for, disappoint, fail_to_impress	are_humiliated_by
are_painted_by	criticize, refuse_to_pay, withhold_payment_from	are_humiliated_by
are_photographed_by	criticize, refuse_to_pay, withhold_payment_from	are_humiliated_by
are_popularized_by	condescend_to, alienate	are_humiliated_by, are_abandoned_by
are_imitated_by	criticize, sue	are_mocked_by
are_savaged_by	complain_to	are_humiliated_by
are_sued_by	settle_with, pay_off	are_humiliated_by
are_undermined_by	attack, complain_to, criticize	are_humiliated_by
argue_before	are_undermined_by	lick_up_to
are_abandoned_by	cry_for, pine_for	are_ignored_by
are_excommunicated_by	beg_forgiveness_from, seek_forgiveness_from	are_ignored_by
are_forgotten_by	track_down, pursue	are_spurned_by
are_obeyed_by	condescend_to	are_ignored_by
are_spurned_by	cry_for, pine_for	are_ignored_by
are_overthrown_by	beg_forgiveness_from, seek_forgiveness_from	are_banished_by
are_overthrown_by	inspire	are_imitated_by
are_copied_by	inspire	are_impressed_by
are_imitated_by	inspire	are_impressed_by
are_impersonated_by	inspire, coach	are_impressed_by
are_captured_by	disgust, insult, mock, struggle_against	are_incarcerated_by
are_caught_by	beg_forgiveness_from, seek_forgiveness_from	are_incarcerated_by
are_found_by	beg_forgiveness_from, seek_forgiveness_from	are_incarcerated_by
are_deposed_by	beg_forgiveness_from, seek_forgiveness_from	are_incarcerated_by
are_excommunicated_by	beg_forgiveness_from, seek_forgiveness_from	are_incarcerated_by
are_ruled_by	rise_against	are_incarcerated_by
are_toppled_by	beg_forgiveness_from, seek_forgiveness_from	are_incarcerated_by
are_baptized_by	pray_with, listen_to	are_indoctrinated_by
are_converted_by	pray_with, listen_to	are_indoctrinated_by
are_imprisoned_by	beg_forgiveness_from, seek_forgiveness_from, identify_with	are_indoctrinated_by
are_imprisoned_by	identify_with	are_indoctrinated_by
are_lectured_by	trust, look_up_to	are_indoctrinated_by
are_mentored_by	seek_advice_from, learn_from	are_indoctrinated_by
are_attracted_by	impress	are_interviewed_by
are_defrauded_by	testify_against	are_intimidated_by
are_followed_by	argue_with	are_intimidated_by
are_trusted_by	lead_astray, lie_to, deceive, cheat	are_investigated_by
are_worshipped_by	condescend_to, ignore	are_kidnapped_by
are_beaten_by	sue	are_killed_by
are_bought_off_by	testify_against, turn_against	are_killed_by
are_corrupted_by	testify_against	are_killed_by
are_denounced_by	beg_forgiveness_from, seek_forgiveness_from	are_killed_by
are_freed_by	disappoint, spread_lies_about	are_killed_by
are_healed_by	refuse_to_pay, withhold_payment_from	are_killed_by
are_loved_by	betray	are_killed_by
are_protected_by	disgust, condescend_to	are_killed_by
are_stalked_by	disgust, disappoint	are_killed_by
are_tortured_by	taunt	are_killed_by
are_impressed_by	praise	are_kissed_by
are_accused_by	bribe, pay_off, beg_forgiveness_from	are_lectured_by
are_answered_by	condescend_to	are_lectured_by
are_disqualified_by	beg_forgiveness_from, seek_forgiveness_from	are_lectured_by
are_expelled_by	beg_forgiveness_from, seek_forgiveness_from	are_lectured_by
are_mentored_by	seek_advice_from	are_lectured_by
are_worshipped_by	disappoint, disgust, fail_to_deliver_for	are_lectured_by
are_worshipped_by	disappoint, disgust, fail_to_deliver_for	are_lectured_by
are_advised_by	cede_power_to	are_manipulated_by
are_attended_by	trust, delegate_to	are_manipulated_by
are_brainwashed_by	cede_power_to, obey	are_manipulated_by
are_flattered_by	trust	are_manipulated_by
are_healed_by	look_up_to, show_loyalty_to	are_manipulated_by
are_introduced_by	trust, confide_in	are_manipulated_by
are_lectured_by	trust, look_up_to	are_manipulated_by
are_recruited_by	cede_power_to, bow_down_to, curry_favor_with	are_manipulated_by
are_rewarded_by	become_dependent_upon	are_manipulated_by
are_ruled_by	worship, curry_favor_with	are_manipulated_by
are_seduced_by	fall_in_love_with, sleep_with	are_manipulated_by
are_trusted_by	underestimate	are_manipulated_by
are_imitated_by	lead_astray	are_misrepresented_by
are_driven_by	lead_astray	are_mocked_by
are_encouraged_by	fail_to_deliver_for, disappoint	are_mocked_by
are_kidnapped_by	kiss_up_to, lick_up_to	are_mocked_by
are_pitied_by	rebuff, condescend_to	are_mocked_by
are_raised_by	identify_with	are_molded_by
are_supervised_by	learn_from, look_up_to	are_molded_by
are_abducted_by	identify_with	are_moved_by
are_evaluated_by	impress, suck_up_to, flatter, kiss_up_to	are_nominated_by
are_interviewed_by	lick_up_to, kiss_up_to, blackmail,  flatter	are_nominated_by
are_deceived_by	threaten	are_obeyed_by
are_feared_by	bully, dominate, oppress	are_obeyed_by
are_resisted_by	pay_off, bribe, blackmail	are_obeyed_by
are_resisted_by	subjugate	are_obeyed_by
are_ruled_by	overthrow	are_obeyed_by
are_imitated_by	condescend_to, underestimate	are_overthrown_by
are_abandoned_by	cry_for, pine_for	are_pitied_by
are_expelled_by	beg_forgiveness_from, seek_forgiveness_from	are_pitied_by
are_judged_by	appeal_to, seek_forgiveness_from, beg_forgiveness_from	are_pitied_by
are_persecuted_by	appeal_to, obtain_sympathy_from	are_pitied_by
are_recalled_by	beg_forgiveness_from, seek_forgiveness_from	are_pitied_by
are_sued_by	obtain_sympathy_from	are_pitied_by
are_censured_by	beg_forgiveness_from, seek_forgiveness_from	are_promoted_by
are_criticized_by	blackmail, pay_off	are_promoted_by
are_fielded_by	impress, deliver_for	are_promoted_by
are_manipulated_by	stand_up_to	are_promoted_by
are_taught_by	impress	are_promoted_by
are_trained_by	impress	are_promoted_by
are_underpaid_by	impress, deliver_for	are_promoted_by
are_controlled_by	disappoint, undermine, disagree_with	are_punished_by
are_rewarded_by	fail_to_deliver_for, disappoint, fail_to_impress, spread_lies_about	are_punished_by
are_abused_by	run_away_from, escape_from, break_free_of	are_pursued_by
are_bored_by	escape_from, break_free_of	are_pursued_by
are_detained_by	escape_from, break_free_of	are_pursued_by
are_enslaved_by	escape_from, break_free_of	are_pursued_by
are_guarded_by	escape_from, break_free_of	are_pursued_by
are_detained_by, are_imprisoned_by, are_abducted_by	escape_from, break_free_of	are_pursued_by
are_imprisoned_by	escape_from, break_free_of	are_pursued_by
are_incarcerated_by	escape_from, break_free_of	are_pursued_by
are_missed_by	write_to	are_pursued_by
are_photographed_by	impress	are_pursued_by
are_released_by	pine_for, spread_lies_about	are_pursued_by
are_rejected_by, are_spurned_by	pine_for	are_humiliated_by
are_coached_by	look_up_to	are_pushed_too_far_by
are_dominated_by	labor_for	are_pushed_too_far_by
are_persecuted_by	harden_toward	are_pushed_too_far_by
are_rewarded_by	show_loyalty_to	are_pushed_too_far_by
are_supervised_by	curry_favor_with	are_pushed_too_far_by
are_tormented_by	appeal_to, appease	are_pushed_too_far_by
are_tortured_by	resist, struggle_with	are_pushed_too_far_by
are_tutored_by	look_up_to	are_pushed_too_far_by
are_victimized_by	appeal_to, appease, negotiate_with, resent	are_pushed_too_far_by
are_whipped_by	bow_down_to, resent, beg_forgiveness_from	are_pushed_too_far_by
are_abducted_by	kiss_up_to, lick_up_to, suck_up_to	are_rebuffed_by
are_attracted_by	disgust, fail_to_impress	are_rebuffed_by
are_appointed_by	disappoint, undermine, disagree_with, misrepresent, spread_lies_about	are_recalled_by
are_banished_by	run_away_from	are_taunted_by
are_deployed_by	fail_to_deliver_for, disappoint, fail_to_impress	are_recalled_by
are_dispatched_by	fail_to_deliver_for, disappoint, fail_to_impress	are_recalled_by
are_dispatched_by	disappoint, undermine, disagree_with, misrepresent, brief_against	are_recalled_by
are_dumped_by	stalk, spread_lies_about	are_killed_by
are_dumped_by	stalk, spread_lies_about	are_killed_by
are_dumped_by	obtain_sympathy_from, beg_forgiveness_from, seek_forgiveness_from	are_recalled_by
are_trusted_by	misrepresent, lie_to, deceive	are_recalled_by
are_fought_by	impress	are_recruited_by
are_blackmailed_by	pay_off	are_released_by
are_captured_by	disgust, fail_to_impress	are_released_by
are_charged_by	testify_for	are_released_by
are_detained_by	sleep_with	are_released_by
are_owed_by	threaten	are_repaid_by
are_worshipped_by	abuse, terrorize, steal_from	are_resisted_by
are_abused_by	stand_up_to	are_respected_by
are_beaten_by	escape_from	are_respected_by
are_booed_by	stand_up_to	are_respected_by
are_ignored_by	stand_up_to	are_respected_by
are_intimidated_by	stand_up_to	are_respected_by
are_mocked_by	stand_up_to	are_respected_by
are_oppressed_by	rise_against	are_respected_by
are_snatched_by	identify_with	are_respected_by
are_taunted_by	stand_up_to	are_respected_by
are_threatened_by	stand_up_to	are_respected_by
are_appointed_by	show_loyalty_to	are_rewarded_by
are_dispatched_by	impress, show_loyalty_to	are_rewarded_by
are_hired_by	lie_for	are_rewarded_by
are_recruited_by	show_loyalty_to	are_rewarded_by
are_blackmailed_by	refuse_to_pay	are_ruined_by
are_attracted_by	worship, fall_in_love_with	are_ruled_by
are_defeated_by	cede_power_to,  bow_down_to	are_ruled_by
are_misrepresented_by	testify_against	are_savaged_by
are_reviewed_by	disappoint, condescend_to, fail_to_deliver_for	are_savaged_by
pray_for	obtain_sympathy_from, are_pitied_by	are_saved_by
are_escorted_by	flirt_with	are_seduced_by
are_saved_by	worship, pray_to, sacrifice_to	are_shielded_by
are_targeted_by	impress	are_shielded_by
are_wanted_by	obtain_sympathy_from	are_shielded_by
are_attracted_by	trust, flirt_with, play_with	are_snatched_by
are_sought_by	trust, talk_to, condescend_to	are_snatched_by
are_managed_by	fail_to_deliver_for, disappoint, spread_lies_about	are_dismissed_by, are_fired_by, are_sued_by
are_disillusioned_by	escape_from	are_sought_by
are_deflowered_by	fall_in_love_with	are_spurned_by
are_dismissed_by	stalk, spread_lies_about	are_killed_by
