Final Action	Number of Stories	Closing Action
cede_power_to	4100	"would B use its newly consolidated power over A wisely? Or squander it foolishly?, what goes around comes around; B should watch its back, what will B do with its newly consolidated power over A? Use it wisely we hope"	
respect	3911	"respect is a very good thing; much better than hatred, that kind of respect is the adult version of a happy ending, if hate is a disease then respect is the cure, respect is the glue that binds civilizations together, respect is a much more productive emotion than resentment, if is far better to be respected than to be feared, respect is better than fear: respect promotes love while fear promotes hate"	
are_killed_by	3708	"A's family would now seek revenge in a never-ending cycle of vengeance, will B one day feel A's icy touch from beyond the grave?, soon after A died in hospital and B was charged with murder, A died soon after and B now lives on death row, A died soon after and B now awaits death in the Big House"	
break_with	3554	"A pledged to never seek out B's company again, that kind of fracture rarely heals quickly or completely, can A and B ever mend their relationship?, some breaks heal quickly while others never heal at all"	
testify_against	3551	"soon after A received a box of dead rats in the mail, A later found a dead rat nailed to the front door, B's lawyers gave A a hard time on the stand but the truth prevailed"	
are_taunted_by	3517	"sticks and stones may break A's bones but names will never hurt it, ""I am rubber and you are glue"" chanted A naively, A will need to grow a very thick skin to deflect these taunts, such taunts are bad for the ego but good for the soul"	
are_pitied_by	3515	"nobody likes to be pitied; so how will B react?, does A have enough self-respect left to tell B where to shove its pity?"	
are_arrested_for_hurting	3388	"B tearful testimony ensured A served hard time for the assault , A's lawyers argued mitigating circumstances for the assault, so the legal system exacted a judicial revenge for B"	
escape_from	3262	"B would never give up the hunt for A; so A adopted a whole new identity, A spent the rest of its life looking over its shoulder for B, A would have to adopt a whole new identity to successfully hide from B, B would never give up the chase and A would never sleep soundly again"	
beg_forgiveness_from	3174	"who can say whether B would have any remaining mercy for A, but it is often harder to forgive than to lash out, well A can certainly ask; but will B listen?, let's hope that B's heart hasn't turned completely to stone, forgiveness is the reboot button than banishes the blue screen of death"	
condescend_to	3113	"pride comes before a fall; condescension comes before a punch in the face, pride comes before a fall; condescension comes before a kick in the groin, will B wipe the snooty grin off A's face?"	
bow_down_to	2981	"B looked on as A grovelled and thought ""It's good to be the king"""	
sacrifice_to	2974	"A hoped that B would be satisfied with the sacrifice and not demand A's own blood, A prayed the sacrifice would suffice; but would it?, thereafter A made regular sacrifices to retain B's grace and favor, fortunately B was pleased with the sacrifice but demanded they continue"	
indoctrinate	2909	"thereafter it seemed B's brain had never been cleaner, thereafter B's brain was washed clean but it had shrunk in the wash, will B's brain shrink in the wash? Is that even possible?, thereafter B's brain buzzed like a reformatted hard disk; and was just as empty too, thereafter B thought ""life seems so much easier now that I have something to believe in"""	
are_incarcerated_by	2863	"A would have a very long in captivity to dwell on past mistakes, A would have to be careful not to drop the soap in the shower, let's hope that A likes viewing the world through a set of bars"	
punish	2847	"that should teach B a lesson; or will it just make B want to take revenge against A?, B got the stick here but wouldn't the carrot have been a more productive strategy for A?"	
are_ignored_by	2825	"A should take the hint and just stay out of B's way from now on, A could take the hint and move very far away from B, perhaps A should attempt a dramatic gesture of some kind to win B over? But that's a story for another day"	
lead_astray	2768	"that's what happens when you give your trust too easily, that's what happens when you allow your conscience to be taken for a ride, that's what happens when you move your conscience into the passenger seat"	
are_respected_by	2728	"respect is a very good thing; much better than hatred, that kind of respect is the adult version of a happy ending, if hate is a disease then respect is the cure, respect is the glue that binds civilizations together, respect is a much more productive emotion than resentment, if is far better to be respected than to be feared, respect is better than fear: respect promotes love while fear promotes hate"	
are_mocked_by	2709	"that kind of mockery can toughen you up or tear you down; how will A react?, A crawled off to lick its wounds in private, A crawled off to plot its revenge in the shadows, A was down for the count but would rise again, public humiliation like that leaves a very visible scar, mockery begets a shame that can metastasize into hate, sticks and stones may break A's bones but names will never hurt it, ""I am rubber and you are glue"" murmured A weakly,  A will need to grow a very thick skin to live down this mockery, such mockery is very bad for the ego but ultimately it is good for the soul, it is always better when negativity is expressed with words rather than with fists"	
praise	2677	"let's hope this praise doesn't swell B's head like a balloon, praise is good where it is deserved; counterproductive where it is not, today A is fulsome in its praise of B; tomorrow may be a different story, A may be basting B in butter in preparation for the oven!"	
insult	2565	"some insults can hurt more than a sword between the ribs, some insults can leave a lasting mark that is nastier than any scar, swords and knives scar you on the outside; insults can scar you on the inside"	
pine_for	2458	"but B would never again smile on A or even give B the time of day, but B would not even spit on A's face if it were on fire, but B would never again grace A with the most fleeting of eye contact, but A was utterly dead to B now, and well might A pine; but B is never ever coming back, A will carry this regret for the rest of its lonely journey through life, thereafter A was so forlorn without B that it stopped eating and eventually wasted away to nothing"	
look_for	2315	"thereafter A would look high and low and leave no stone unturned; but B was nowhere to be found, thereafter B was well and truly gone now; A's search would never bear fruit, thereafter the hunt went on; but if B does not want to be found then A's search will be a fruitless one"	
lose_control_over	2244	"thereafter B was forever free  of A's baleful influence and swore never to be anyone's puppet again , B was like a puppet whose strings had been cut: happy but also sadly directionless"	
are_toppled_by	2224	"A is down now and will stay down if it knows what is good for it, but how long will A stay down? How long will B stay up?, well what goes around comes around; what will happen when the wheel turns next?"	
look_up_to	2209	"let's hope that B proves to be deserving of A's newfound admiration, pride comes before a fall and admiration comes before disappointment, how long will it be before A notices that B has feet of clay, will A see past A's feats of gold to see its feet of clay?"	
exorcise	2151	"but how long would the ghost of B stay hidden in the shadows?, but can one every truly banish an unwanted memory?, but once cannot truly banish a ghost that has taken up residence in your mind"	
are_booed_by	2114	"that kind of rejection can either destroy you or strengthen your commitment to succeed, well what doesn't kill you makes you stronger; even if you are covered in rotten tomatoes, it's not the boos that hurt the most; it's the beer cans (some of them are full)"	
are_corrupted_by	2085	"this life is but a fleeting dream and your soul must live forever; where it lives is up to you, your soul is precious cargo; don't let it spoil inside its bodily can, the road to hell is paved with the good intentions of naive fools"	
are_sued_by	2079	"the lawyers are going have a lot of fun with this one; and at $300 an hour too, let the courts sort this one out; that's what they're there for after all, thereafter the law triumphed; but if you think justice and the law are the same thing I have a bridge to sell you"	
reward	2015	"money can't but you love; but it can buy you nice things (and loyalty too), everything has a price in this life; but does the price reflect the underlying value?"	
are_bored_by	1988	"look on the bright side: boredom is B's super-power, well it's better to be bored to death than to be put to death"	
stand_up_to	1944	"this show of backbone is good for the soul even if A gets knocked down , that's the spirit: A has finally found its inner hero (or is it martyr?)"	
campaign_against	1922	"would A triumph or would B carry the day?, politics is such an unpredictable sport; some call it a blood sport, politics is much more than a game; it is more accurately a blood sport, may the best politician win; in politics ""best"" often means ""worst"""	
are_suppressed_by	1819	"but even the strongest arm tires; strong arm techniques like this cannot work forever, but can B keep A down forever? Not if A deserves to be heard"	
lose_to	1783	"we are defined more by our losses than by our victories; A may rise again, thereafter A was embittered by defeat and was never a real threat again, real victories come from without; true defeat can only come from within"	
betray	1695	"there is a warm bed in hell for every traitor and A's reservation has already been made, betrayal is good for the wallet; thereafter A learned that it also kills the soul utterly, thereafter A could never look in the mirror again; nor look B in the eye"	
destroy	1689	"how could anyone pick themselves up after that kind of devastation?, thereafter A could not succeed in destroying B's memory; it haunts A to this day "	
cheat	1676	"B learned a valuable lesson that day: never trust anyone every again, thereafter B was determined to get revenge; A will never see it coming, but those who cheat others have one fatal flaw: narcissism; it will be A's undoing"	
catch	1630	"what will A do now that B is in its clutches? What would you do?, thereafter A kept B on a very tight leash indeed; B was never truly free again"	
rise_against	1625	"B looked down from its throne and laughed; it was a hollow laugh, B looked down from its perch and laughed; it was soon laughing from the other side of its face, would A's revolt succeed? Or would B manage to put it down?,  A's revolt did not succeed at first; but B's enemies saw blood in the water, the tide was turning and A was about to sweep B away"	
turn_against	1583	"every puppet grows weary of its own strings eventually; A was reaching for the scissors, the tide was turning and B was about to be left high and dry, the tide was turning and B was about to be swept away"	
impress	1572	"thereafter A earned a place of great privilege in B's coterie, thereafter A earned a place of great privilege in B's inner circle, thereafter A received great boons from B; though B always feared being supplanted by A"	
fear	1471	"thereafter the very mention of B's name would make A go pale, thereafter folks would frighten naughty children with tales of B, thereafter the very mention of B's name would send a cold chill down A's spine, some say it is better to be feared than to be loved; are they right in B's case?"	
steal_from	1447	"thereafter B was deeply wounded by the theft and resolved that A would suffer for it, but crime did not pay for A; for B made sure that the world knew of A's theft, thereafter B became paranoid and resolved that no-one would ever steal from it again"	
resent	1446	"thereafter resentment grew like a cancer within A, thereafter resentment ate A's soul the way cancer eats flesh, thereafter resentment chewed at A's innards so that it never found peace again, "	
repay	1413	"thereafter the slate was wiped clean between A and B, thereafter B was able to make even bigger claims on A's generosity"	
pay_off	1400	"A had bought B's loyalty but not its soul; deep inside B was plotting against A, thereafter B relinquished all sense of independence and critical thinking; A now owned it utterly"	
are_obeyed_by	1394	"thereafter B remained a faithful and dutiful servant of A, thereafter B put aside all personal ambition and lived only to serve A, thereafter B lived only to further the ambitions of one being: A, thereafter it was said by all that there had never been a truer servant than B"	
are_driven_mad_by	1382	"soon after A developed a nervous twitch that -- like B -- never went away, thereafter A could be heard howling at the moon about B"	
dump	1363	"thereafter B simmered in the juices of its own resentments and never found love again, thereafter B would say that it was the other way around: that it was B that dumped A"	
are_attacked_by	1357	"soon after A was treated for post-traumatic stress disorder and was never the same again, for a long time afterwards A could not speak of its beating at the hands of B, thereafter A would avoid all discussion of B and feared to hear even its name uttered"	
are_spurned_by	1333	"thereafter A would wear the scar of that rejection as a mark of shame, thereafter B simmered in the juices of its own resentments and muttered dark thoughts about A"	
defeat	1322	"thereafter B sloped off to lick its wounds and to dream of future conquests, thereafter B crawled into the shadows to regroup and carefully plot its revenge"	
hide_from	1304	"thereafter A was forced to stay in hiding for B is still searching to this day, thereafter B never stopped searching so A is still hiding to this day"	
lose_favor_with	1302	"thereafter A remained in the dog-house pining for the lost affections of B, thereafter B continued to give A the cold shoulder and the stink eye, thereafter A worked hard to regain B's affections but to no avail"	
campaign_for	1286	"thereafter B was elected and gave A a position of great responsibility and trust, thereafter B won the campaign and rewarded A's loyalty in spades"	
overwork	1286	"soon after B had a heart attack and was forced to take early retirement, thereafter B developed an ulcer and was eventually fired for drinking on the job, thereafter B worked long and hard for A but did not live long enough to enjoy its retirement"	
profit_from	1269	"thereafter A and B developed a mutually beneficial relationship to the profit of each, thereafter B wised up and demanded that A stop treating it like a cash machine"	
are_dumped_by	1190	"thereafter A simmered in the juices of its own resentments and never found love again, thereafter A would say that it was the other way around: that it was A that dumped B,  thereafter A was so forlorn without B that it stopped eating and eventually wasted away to nothing"	
are_disrespected_by	1185	"thereafter A realized that to win B's respect it needed to regain its own self-respect first, respect is the glue that binds a society: without it barbarity can reign supreme, thereafter B's lack of disrespect inspired others to show their disdain of A too,  thereafter B's lack of disrespect inspired others to reveal their contempt for A too"	
identify_with	1162	"thereafter A could do no harm to B but felt a common cause with B, thereafter B's cause became A's cause and the two faced life's challenges together"	
are_worshipped_by	1146	"thereafter A was placed on a pedestal by B and could do no wrong in B's eyes, thereafter A was given divine status by B and worshipped as a god, thereafter B became a false god for A; it would not be long before this god revealed its feet of clay  "	
stalk	1099	"thereafter A's obsession for B grew and grew until B finally took out a restrainting order, thereafter A became a second shadow to B and gave up its own life to obsess about B's"	
are_fired_by	1086	"thereafter A went to seek work in foreign lands and was never seen by B again, thereafter A hired an employment lawyer and filed a wrongful termination suit against B, thereafter A was forced to sell its house and move to a trailer to live on government handouts"	
sacrifice	1059	"life after all is just a game of chess played with living pieces: B was a pawn not a king, thereafter  A earned a reputation for ruthlessness but never gained the trust of another confederate ever again"	
take_advantage_of	1029	"thereafter B felt thoroughly used by A and swore never to be exploited in this way again, soon after A decided that B had served its usefulness and cast it aside like a used Kleenex, soon after A decided that B had served its usefulness and cast it aside like a used condom"	
overthrow	965	"thereafter A became king of the hill but was no better a ruler than B was,  thereafter B was determined to regain its crown; A would learn first-hand the pain of losing power "	
are_enslaved_by	884	"thereafter A would yearn for its freedom from B but never had the guts to fight for it, thereafter A would dance to B's tune and jump at B's orders, thereafter A would wear the chains of a slave but dreamt of choking B with those chains"	
denounce	880	"thereafter B crawled off to lick its wounds in private, thereafter B crawled off to plot its revenge in the shadows, B was down for the count but would soon rise again, thereafter B became a recluse; for public denunciation like that leaves a very visible scar, thereafter B would forever bear this shame like the mark of Cain"	
are_favored_by	872	"thereafter A proved itself a loyal confederate of B, thereafter many more favors were to come A's way once B had bestowed its mark of approval  "	
disqualify	834	thereafter B complained to the organizers but to no avail: the judge's decision was final	
are_copied_by	780	"will A agree that imitation is the sincerest form of flattery?, will A's lawyers agree that imitation is the sincerest form of flattery?, some say that imitation is the sincerest form of flattery; copyright lawyers say otherwise, thereafter A consulted with a lawyer and dragged B throught the courts for copyright theft, thereafter B never found a distinctive voice of its own and was considered second-rate by all"	
are_ruined_by	779	"thereafter A was an empty shell whose soul had abandoned this condemned building, thereafter B felt no shame at all for A's ruination, thereafter A began the slow process of rebuilding a ruined life from scratch"	342771
labor_for	776	"thereafter B saw A as an able worker; but able workers rarely get promoted into management, thereafter B treated A as a capable worker with a bright future in the business"	2347
are_forgotten_by	775	"thereafter A's name was never spoken in B's presence ever again, thereafter it seemed to B's friends that A had never existed"	
are_inspired_by	774	"thereafter A reached for the brass ring with the confidence B had instilled, thereafter A followed B's shining example and reached for the very top"	
support	760	"thereafter A's support played a crucial  part in B's eventual success, but would B remember this support from A when the time came to share the success?"	
show_loyalty_to	755	"thereafter A's loyalty played a crucial  part in B's eventual success, but would B remember this loyalty from A when the time came to share the success?"	
disfigure	745	"thereafter B's face wore the wrath of A like the mark of Cain, thereafter B was too ashamed to go out in public and became a bitter recluse"	
lose_faith_in	732	"thereafter A was careful about expressing faith in anyone at all, the loss of faith is a terrible thing: for the loser and the fallen idol "	
lick_up_to	718	"thereafter A would always be known a kiss-ass and a brown-nose, thereafter B showed some favor to A but never actually respected A"	
are_indoctrinated_by	710	"thereafter it seemed A's brain had never been cleaner; not emptier either, thereafter A's brain was washed clean but it seemed to have shrunk in the wash, will A's brain shrink in the wash? Is that even possible?, thereafter A's brain buzzed like a reformatted hard disk; and was just as empty too, thereafter A thought ""life seems so much easier now that I have something to believe in"""	
upstage	704	"thereafter B nurtured a growing resentment for A and sought to ruin A's career, thereafter B seethed with a hidden rage that would one day consume them both, thereafter B did everything to hinder A's rise but to no avail: B was forgotten and A was a star"	
are_released_by	692	"thereafter A got as far away from B as it was possible to get; A is still running today, thereafter A got as far away from B as it was possible to get; A is still in hiding now"	
are_recalled_by	650	"thereafter A was never trusted by B or allowed to do anything of importance again, thereafter A was trusted to do only the most menial tasks for B; today A cleans toilets"	
are_blackmailed_by	647	"thereafter A became an unwilling puppet of B; until B was mysteriously found dead one day, thereafter A became an unwilling benefactor of B; until the money ran out at least"	
spy_on	645	"A hoped to find incriminating evidence against B; but it only found a harsh comeuppance, thereafter A compiled copious notes on B but did not find what it was looking for"	
are_manipulated_by	611	"A would later suffer the fate of all playthings: eventually their owners tire of them, thereafter A proved to be a very useful pawn in B's schemes, every puppet eventually sees its own strings; will A cut its strings before it is too late?"	
blackmail	597	"thereafter B became an unwilling puppet of A; until A was mysteriously found dead one day, thereafter B became an unwilling benefactor of A; until the money ran out at least"	
supplant	560	"thereafter A became head honcho but was no better a leader than B was,  thereafter B was determined to regain its power; A would learn first-hand the sting of being sidelined"	
run_away_from	559	"thereafter A got as far away from B as it was possible to get; A is still hiding today, thereafter A was forced to stay in hiding for B is still searching to this day, thereafter B never stopped searching so A is still hiding to this day"	
seduce	516	"thereafter B nurtured hopes of marriage but A was already looking at the door, thereafter B became too possessive and forced A into the arms of another, thereafter A would use the lure of sex to get B to do anything it wanted"	
are_despised_by	513	"thereafter the very mention of A's name would send B into a fit of rage, how long can sustain such intense hatred? Can A one day earn B's forgiveness?, thereafter B learned that hate is a flame that consumes both the hater and its victim, love can so easily turn to hate; but hate so very rarely turns to love"	
pander_to	486	"thereafter A was thoroughly disgusted with itself but the damage had been done, thereafter B treated A as a lowly servant and took pleasure in A's degradation"	
are_freed_by	481	"thereafter A got as far away from B as it was possible to get; A is still running today, thereafter A got as far away from B as it was possible to get; A is still in hiding now"	
pursue	452	"will A ever catch up to B? Let's hope not for B's sake, tune in next week to see if A ever catches up to B (don't hold your breath), thereafter B sought deep cover but it won't be able to hide from A forever, thereafter B sought deep cover but just how long is A willing to spend searching for B?, thereafter A never gave up the hunt; B may have to spend the rest of its life running"	
sympathize_with	437	"thereafter A felt a common cause with B and became a life-long supporter of B, thereafter B's cause became A's cause and the two faced life's challenges together"	
are_bought_off_by	404	"thereafter A's soul belonged entirely to B and it would never again belong to its rightful owner, thereafter B treated A as its personal property and degraded it accordingly"	
are_promoted_by	393	thereafter the sky was the limit was A's career but even that seemed a glass ceiling worth breaking	
are_upstaged_by	380	"thereafter A nurtured a growing resentment for B and sought to ruin B's career, thereafter A seethed with a hidden rage that would one day consume them both, thereafter A did everything to hinder B's rise but to no avail: A was forgotten and B was a star"	
are_subdued_by	372	thereafter A would bristle at B's domination but could never muster enough gumption to do anything about it	
forgive	371	"that's the way it should be: only forgiveness can wipe the slate clean, does A really forgive B or does bitterness lurk in A's heart?, only time will tell if A really has forgiven B; Let's hope so, let's hope B proves itself deserving of A's generosity of spirit"	
are_beaten_by	361	thereafter A would bristle at B's assault but could never muster enough gumption to return the brutal favor	
are_disillusioned_by	348	"thereafter A was careful about expressing faith in anyone at all, the loss of faith is a terrible thing: for the loser and the fallen idol "	
control	344	"thereafter B would dance to A's tune like a little puppet on a string, thereafter whenever A said ""Jump"" B would answer ""How high SIR?"""	
recall	326	"thereafter B was never trusted by A or allowed to do anything of importance again, thereafter B was trusted to do only the most menial tasks for A; today B cleans toilets"	
take_up_with	326	thereafter A and B were utterly inseparable; wherever B went A was sure to follow	
commit_to	321	thereafter A and B were utterly inseparable; wherever B went A was sure to follow	
track_down	307	"what will A do now that B is in its clutches? What would you do?, thereafter A kept B on a very tight leash indeed; B was never truly free again"	
take_aim_at	283	thereafter B remained in A's crosshairs and spent the rest of its life looking over its shoulder	
flatter	281	"thereafter A would always be known a kiss-ass and a brown-nose, thereafter B showed some favor to A but never actually respected A"	
hunt	280	"will A ever catch up to B? Let's hope not for B's sake, tune in next week to see if A ever catches up to B (don't bet against it thereafter B sought deep cover but it won't be able to hide from A forever, thereafter B sought deep cover but just how long is A willing to spend searching for B?, thereafter A never gave up the hunt; B may have to spend the rest of its life running"	
cast_off	277	"thereafter B was never trusted by A or allowed to do anything of importance again, thereafter B was trusted to do only the most menial tasks for A; today B cleans toilets"	
enslave	277	"thereafter B would yearn for its freedom from A but never had the guts to fight for it, thereafter B would dance to A's tune and jump at A's orders, thereafter B would wear the chains of a slave but dreamt of choking A with those chains"	
are_dismissed_by	270	"thereafter A went to seek work in foreign lands and was never seen by B again, thereafter A hired an employment lawyer and filed a wrongful termination suit against B, thereafter A was forced to sell its house and move to a trailer to live on government handouts"	
are_ejected_by	268	"thereafter A was thoroughly disgusted with itself but the damage had been done, thereafter A would never again find a host as kind and generous as B"	
are_betrayed_by	258	"there is a warm bed in hell for every traitor and B's reservation has already been made, betrayal is good for the wallet; thereafter A learned that it also kills the soul  thereafter B could never look in the mirror again; nor look A in the eye"	
watch_over	252	thereafter nothing that B would do every escaped A's watchful eye	
are_bitten_by	206	thereafter the scar left by B would serve as a painful reminder to A about trust	
are_deposed_by	199	"thereafter B became head honcho but was no better a leader than A was,  thereafter A was determined to regain its power; B would learn first-hand the sting of being deposed"	
elude	199	thereafter B would never give up its hunt for A; but A remained determined to avoid its clutches	
are_entertained_by	198	thereafter A counted on B to put on a smile on its face whenever life's problems made it cry	
release	187	"thereafter B got as far away from A as it was possible to get; B is still running today, thereafter B got as far away from A as it was possible to get; B is still in hiding now"	
sweat_for	185	"thereafter B saw A as an able worker; but able workers rarely get promoted into management, thereafter B treated A as a capable worker with a bright future in the business"	
divorce	182	"thereafter B simmered in the juices of its own resentments and never found love again, thereafter B would say that it was the other way around: that it was B that divorced A"	
are_supplanted_by	180	"thereafter B became head honcho but was no better a leader than A was,  thereafter A was determined to regain its power; B would learn first-hand the sting of being sidelined"	
sue	172	"the lawyers are going have a lot of fun with this one; and at $300 an hour too, let the courts sort this one out; that's what they're there for after all, thereafter the law triumphed; but if you think justice and the law are the same thing I have a bridge to sell you"	
inspire	164	"thereafter B reached for the brass ring with the confidence A had instilled, thereafter B followed A's shining example and reached for the very top"	
are_sought_by	154	"thereafter B would look high and low and leave no stone unturned; but A was nowhere to be found, thereafter A was well and truly gone now; B's search would never bear fruit, thereafter the hunt went on; but if A does not want to be found then B's search will be a fruitless one"	
enchant	148	"thereafter B nurtured hopes of marriage but A was already looking at the door, thereafter B became too possessive and forced A into the arms of another, thereafter A would use the lure of sex to get B to do anything it wanted"	
are_trusted_by	142	thereafter A worked hard to be worthy of B's trust; let's hope A is indeed worthy	
are_abandoned_by	136	thereafter B got as far away from A as it was possible to get; B has never looked back	
are_brainwashed_by	135	"thereafter A's brain had never been cleaner; nor emptier for that matter, thereafter A's brain had been washed clean but it seemed to have shrunk in the wash, will A's brain shrink in the wash? brainwashing is a dark art not a pure science, thereafter A's brain buzzed like a reformatted hard disk; and was as empty as one too, thereafter A was as good a soldier for B's cause as anyone: unthinking and loyal"	
marry	135	thereafter A and B were utterly inseparable; wherever B went A was sure to follow	
are_found_by	133	"what will B do now that A is in its clutches? What would you do?, thereafter B kept A on a very tight leash indeed; A was never allowed to roam free again"	
are_deflowered_by	119	afterwards A felt totally degraded by B's exploitation; but the damage had been done	
are_exploited_by	113	"thereafter A felt thoroughly used by B and swore never to be exploited in this way again, soon after B decided that A had served its usefulness and cast it aside like a used Kleenex, soon after b decided that A had served its usefulness and cast it aside like a used condom"	
are_hardened_by	109	thereafter A hid its heart so well that others suspected it no longer had a heart at all	
abuse	104	"thereafter B seemed an empty shell whose soul had abandoned a crumbling building, thereafter B nurtured a growing resentment for A and sought to ruin A's career, thereafter B seethed with a hidden rage that would one day consume A"	
sign_with	95	"thereafter A became an unwilling puppet of B; until B was mysteriously found dead one day, thereafter B became a generous benefactor of A; until the money ran out at least"	
