Initial Action	Number of Uses	Number of Stories	Establishing Action
fight_against	8	1763	"the rivalry between A and B was an old one, few could remember what sparked the rivalry between A and B, the families of A and B had been feuding for generations"	
are_pushed_too_far_by	4	1648	"A was reaching a boiling point with B, A was reaching the end of its tether with B, A had just about taken enough from B"	
marry	10	1512	"marriage was always on the cards for A and B, few were surprised when B proposed to A, it had been a very long engagement for A and B"	
worship	6	1494	"B had a mysterious air that attracted adoring glances, B's golden reputation was a beacon for others, A was always looking for heroes to idolize"	
are_promoted_by	2	1399	A did not to be passed over for promotion again	
lead	3	1299	some are born to lead but B seemed destined to follow	
are_protected_by	4	1223	"A needed a friend to keep potential enemies at bay, A was a thinker not a fighter"	
are_used_by	1	1200	A feelt the need to be liked by everyone	
rule_over	5	1185	"A was a believer in the divine right to rule, someone had to be the boss, for B the rules were always set by someone else"	
are_read_by	2	1182	"A's books still sold by the million, A's masterpiece had just been turned into a movie"	
are_fired_by	2	1107	"B was a tolerant boss but tolerence has its limits, B felt that a rock could do the job better than A was doing it"	
fail_to_deliver_for	3	1083	"B had hoped that A would rise to the challenge, B doubted that A could deliver on such big promises"	
are_abused_by	3	1082	the victims of abuse often become abusers themselves	
trust	2	1062	"B had a good reputation amongst A's friends, it seems nobody had a bad word to say about B"	
recruit	2	1053	B seemed to be the candidate with the brightest future	
are_chosen_by	2	1043	B used every trick in the book to get noticed	
are_evaluated_by	4	1031	"A dreaded the upcoming evaluation, A prepared assiduously for the pending evaluation"	
buy_from	2	1027	B's family had operated this store for generations	
are_resisted_by	3	1019	"B was not going to give up without a fight, ""Over my dead body"" said B, ""Don't make this hard on yourself"" said A"	
sign_with	2	1019	B was expensive but was the best agent in town	221251
are_guaranteed_by	1	990	A was an unknown and needed the financial support of others	
supervise	2	979	B knew that academic success hinged on finding a good supervisor	
let_in	5	976	"the knock on the door woke A from a deep sleep, A scurried to open the door, B pressed the doorbell three times"	
are_led_by	2	976	"""Who's in charge here?"" asked A"	
learn_from	5	960	"B was a master with lessons for all,"	
are_represented_by	3	951	"B represented many successful clients, B represented a roster of successful clients"	
are_funded_by	4	944	"A had delivered the perfect business pitch, A's business model seemed a no-brainer "	
control	2	931	"it was as if A possessed a secret remote control for B, A's charm disguised an ability to shrewdly manipulate others"	
report_to	4	929	"B had insisted on daily briefings, B liked to be kept tightly in the loop"	
summon	6	924	"The knock on the door came as no surprise to B, B had not been seen by A for some time"	
love	4	916	A's heart belonged to another	
are_followed_by	3	916	A was a charismatic leader who attracted hangers-on	
snitch_to	2	893	B knew the value of information and was willing to pay for a tip-off	
sign_up	4	888	B had been on A's radar for quite some time	
kiss_up_to	6	885	"A coud pucker its lips to suit any ass, A preferred flattery to intimidation, flattery came easy to a brown nose like A, B was stoic but not immune to flattery"	
are_sought_by	4	878	A was not an easy fellow to find	
are_supervised_by	3	863	if anyone was in need of supervision it was A	
are_disrespected_by	1	850	"A was not what you would call a ""team player"", A only ever looked out for ""number one"", A's reputation was more soiled than a tablecloth in an Indian restaurant"	
pamper	3	849	"B was born into a life of privilege and luxury, B had been born with a silver spoon in its mouth, B's social status came with luxurious benefits"	
are_interviewed_by	6	839	B's office had scheduled the interview with A for today	
attack	6	796	"A's anger was building inside like steam in a pressure cooker, everyone could sense that B's attack was imminent, B gave offense to everyone but especially to A"	
fall_in_love_with	11	782	"A and B had not met since they were young children, Something clicked inside A when B came along"	
sympathize_with	5	771	A tried to see the good in everyone	
observe	8	767	"B was an interesting sort of the kind that rewarded close observation, "	
bow_down_to	3	751	A had just learned who was boss and it was not A	
blackmail	3	742	"B's dark secrets would one day find the light, B could not keep such dark doings a secret forever, B's flaws could be assets in the wrong hands, B looked for love in all the wrong places, B would one day be forced to pay for such dark secrets"	
take_up_with	7	736	"B and A seemed a match made in heaven, B seemed destined to be with A"	
betray	2	729	"B was a trusting soul that suspected nobody of anything, B had ignored the rumblings of discontent"	
surrender_to	6	720	"the battle had been long but B was a defiant victor, A had fought long and hard but lost the war"	
fight	2	700	B loved a good fight with a tough opponent	
are_lectured_by	3	695	A liked nothing better than being told what to do	
sweat_for	2	694	"A was no stranger to hard work, B expected 110% commitment from every worker"	
are_obeyed_by	2	689	"""I give the orders around here"" said B"	
are_manipulated_by	2	688	"it was as if B possessed a secret remote control for A, B's charm disguised an ability to shrewdly manipulate others"	
deceive	4	687	"B walked into this one with its eyes wide open,"	
buy_off	1	678	"B would do anything for money, B's conscience came with an affordable price tag"	
subjugate	5	670	A would tolerate no dissent from anyone	
carry_for	1	660	B acted like a big wheel and viewed others as little cogs	
teach	1	658	"B's mind was a tabula rasa waiting to be etched, B was a willing student of life, B had an unquenchable thirst for knowledge"	
manage	3	656	B had to be convinced of the merits of having a manager 	
provide_for	1	655	"B was what you might call ""high-maintenance"""	
are_marketed_by	2	652	"""Help me reach a larger audience"" pleaded A"	
encourage	2	651	"with the right push B felt capable of doing anything, B had talent but lacked confidence"	
kill	4	645	Some would say that B had been asking for it	
are_flattered_by	6	641	"A was always a sucker for flattery, sweet nothings and hot air came easy to B, B had a long and naturally brown nose"	
grow_suspicious_of	1	634	"B was a shady character who hid its dark side well, B presented an unimpeachable image in public"	
reward	2	633	"B had really gone above and beyond the call of duty, "	
are_imitated_by	5	632	"B believed that imitation is the sincerest form of flattery, A was surrounded by copycats, A knew that success breeds imitators"	
are_picked_by	1	620	A's resume was carefully crafted to stand out from others	
are_trusted_by	9	618	"B had not known A for very long, A exuded charm and trustworthiness, A always seemed to be a capable sort"	
ask_questions_for	1	618	"B wanted answers and knew how to get them, B favored an oblique approach to finding information, B favored an oblique approach to getting answers "	
flatter	2	609	"B's ego thrived on flattery, B's ego was a balloon inflated by flattery, B liked to showered with flattery, B secretly liked to be showered with flattery"	
are_underpaid_by	4	586	"A worked hard and expected to be paid well, B had deep pockets and short arms"	
are_snatched_by	4	574	A did not see B peering out of the shadows	
campaign_against	7	559	"B and A were from different sides of the political divide, B and A were driven by very different political agendas"	
govern_for	2	559	the kingdom had many provinces and B could not govern alone	
are_unimpressed_by	5	555	"B tried but failed to cut a commanding figure, B talked big but delivered little, B always seemed to fall short of expectations, B was a busted flush that no amount of bluffing could disguise "	
are_paid_by	2	552	A had done a good job for B and deserved a bonus	
study	3	549	"B had long been a mainstay of the college syllabus, B had long been a darling of academic research"	
cater_to	2	546	B had a reputation for whimsical behaviour	
are_toppled_by	2	545	A lived high on the hog and was due for a fall	
receive	2	536	"""Come up and see me sometime"" A had said to B"	
are_ruled_by	4	535	"A was not a strong believer in manifest destiny, A did not strike people as the assertive type"	
are_attracted_by	6	534	B had many attractive qualities	
are_tutored_by	2	531	A's parents hired a private tutor for their wayward scholar	
are_signed_by	1	530	"A was talented but needed an agent to sell it properly, A was a hot young talent in need of an experienced hand"	
are_threatened_by	3	528	A's defiance would surely not go unpunished	
read_the_works_of	2	526	B was now the darling of culture critics everywhere	
represent	2	523	B needed a well-connected agent	
are_enslaved_by	3	516	slavery comes in many forms but all chains feel the same	
build_for	1	516	B had a vision but needed others to make it a reality	
tip_off	1	511	"B knew that knowledge was power, B made a fortune exploiting insider tips"	
compete_against	3	506	"A and B were natural antagonists, A and B each saw themselves as alphas"	
prey_on	4	505	"B had wandered away from the saftety of the herd, unbeknownst to B trouble lurked in the shadows, unbeknownst to B a predator lurked in the shadows"	
select	2	505	"""Pick Me! Pick Me"" shouted B"	
indulge	1	505	"B was a demanding sort who brooked no dissent, B rarely took ""No"" for an answer, B was a demanding sort who attracted fawners"	
guarantee	1	501	B needed money but lacked the track record to get it	
show_loyalty_to	6	498	"B had a commanding air that elicited loyalty, B had always valued loyalty"	
persecute	3	488	"B was in the minority and suffered the way minorities often do, B came from a long line of martyrs, martyrdom seems to appeal to B"	
seek_advice_from	4	486	B was a font of wisdom for any who would drink from it	
spoil	1	485	"B was super cute and knew it too, B assumed others existed to serve its needs, B took everyone and everything for granted"	
are_persecuted_by	2	480	A was often accused of having a martyr complex 	
answer_to	1	480	"B demanded absolute loyalty from a well-paid lieutenant, B paid well and expected absolute loyalty in return"	
are_selected_by	1	467	"A lobbied hard for a plum job like this, A called in every favor to win this position"	
are_managed_by	1	464	A was in dire need of professional career advice	
care_for	3	454	"B had known A for years, an unspoken bond united A and B"	
lead_astray	3	452	"B was a gull that would follow any trawler than promised fish, B simply put too much trust in others"	
confess_to	1	448	"""You can tell me anything"" said B, ""I won't judge you"" said B; ""tell me anything"""	
take_as_prisoner	2	445	B posed a serious risk to A; one that had to be contained	
torture	4	439	"B girded its loins for the test of character to come, ""May god forgive you"" thought B, A cackled at the thought of the fun to come"	
instruct	2	436	B was an ingenue looking for a wing to shelter under	
are_entertained_by	1	433	"B could bring a smile to the stoniest faces, A could wring a laugh from the driest audience"	
are_motivated_by	1	432	"A had talent but needed a good kick in the pants, A had talent but lacked intrinsic motivation, A had talent but lacked get-up-and-go"	
arrest	2	423	"B was a suspect now and would have to face the music, B had screwed up and would have to face the music"	
please	1	423	"B was a tough boss to impress, B knew how to coax the best work from others"	
underestimate	5	421	"B was a quiet type that did not try to impress others, B did not set out to impress others, A was too quick to judge others, A often jumped to conclusions about others"	
are_attended_by	1	419	"B was a demanding boss with varied needs, as a boss B deserved the label ""high-maintenance"", as a leader B made Caligula look undemanding"	
are_attacked_by	4	416	"A never should have made an enemy of B, it was unwise of A to piss B off"	
torment	3	415	"B's moans seemed like music to A's ears, as a child A would pull the wings off of flies"	
are_fielded_by	2	413	"""Let me show you what I can do"" pleased A"	
are_victimized_by	1	397	"A hoped that the meek really would inherit the earth, A attracted bullies the way honey attracts ants, A was one of life's punch bags, A was a pebble that wanted to be a rock"	
conspire_with	3	394	B had discovered a fellow dissident in A	
rise_against	3	391	"B was an oppressive influence that A wanted to shake off, B's benign rule had soured into tyranny"	
are_remembered_by	1	389	"B's candle had burned quickly but brightly, B's achievements would not be forgotten in a hurry "	
admire	2	387	"B volunteered at the local soup kitchen, B was a generous patron of the arts, B was a generous donor to many charities"	
are_tortured_by	3	380	"B was a master when it came to torture, B knew how to inflict pain and enjoyed it too"	
are_defeated_by	2	380	A had put up a good fight but it was not to be	
profit_from	4	377	"B was a golden goose ready to be plucked, B was a cash cow ready to be milked"	
sacrifice	2	363	experience playing chess meant A knew the value of a good sacrifice	
are_bought_off_by	4	359	"A was not immune to the corrupting effects of money, B had never met anyone who could not be bought, B had deep pockets and A had big debts "	
share_stories_with	2	359	though B and A were from different worlds they had much in common	
are_admired_by	1	357	"A enjoyed a stellar reputation, "	
are_dispatched_by	3	354	"""Only you can do this job"" said B, ""Send me"" volunteered A, ""Only I can do this job well"" opined A"	
lose_faith_in	2	346	B was a giant with feet of clay	
struggle_against	3	341	B was not destined to have everything its own way	
protect	2	341	"""I could use someone to watch my back"" said B, ""You could use someone to watch your back"" said A"	
are_abducted_by	4	339	A never saw it coming	
are_pursued_by	3	336	"""no one can hide from me"" threatened B, A had been in hiding for some time"	
are_photographed_by	3	328	"""Say cheese!"" said B cheerily, ""Hold that pose"" ordered B"	
divorce	2	326	"B had cheated on A countless times, B's marriage to A was by now a sham"	
tend	4	325	one thing was sure: B needed looking after	
are_investigated_by	2	323	"recent unexplained events had made A an obvious suspect, recent events had brought A to the attention of the police"	
are_sued_by	3	322	lawyers queued up to argue B's case	
are_defended_by	1	319	"A was besieged by enemies on all sides, B attracted enemies the way statues attract pigeons"	
are_tormented_by	1	319	"A hoped that the meek really would inherit the earth, A attracted bullies the way honey attracts ants, A was one of life's punch bags, A was a pebble that wanted to be a rock"	
are_introduced_by	1	309	A was new to the scene and eager to make friends	
are_recalled_by	2	308	A was having little success working out in the field	
coerce	2	307	B had stonewalled long enough; A needed action now	
guide	1	304	"A was eager but needed a push from an experienced hand, A was eager to succeed but lacked direction"	
threaten	2	299	"B gave A a dirty look that demanded a response, B was definitely getting on A's nerves"	
negotiate_with	3	293	it took great effort to bring A and B to the table	
hide_from	2	293	"""I'll find you wherever you go"" warned B"	
remember	1	292	"A's candle had burned quickly but brightly, A's achievements would not be forgotten in a hurry "	
are_imprisoned_by	5	284	"A's claustrophobia was about to go into overdrive, ""jail is too good for some people"" thought B, A never valued freedom until it was taken away"	
are_upstaged_by	2	284	B seemed unassuming but a fierce ambition burned in those eyes	
rule	4	283	"B chaffed at being told what to do, A liked being the one with the big stick, A definitely preferred the stick to the carrot"	
escape_from	4	278	"B could not keep A in its pocket forever, B had loosened its hold on A for only a moment"	
steal_from	7	277	"B had something that A wanted, B learned the hard way about thieves"	
are_taught_by	3	276	B still had many lessons to offer an eager student like A	
consult_with	2	273	B was a font of wisdom for anyone who would drink of it	
are_dumped_by	3	269	"A had registered B's frostiness with growing alarm, ""We can still make this work"" said A, ""We need to talk"" said B"	
are_stalked_by	3	269	"A sang a siren song that only B could hear, A was the pole star to which everyone else looked for direction"	
entertain	6	266	"God knows B deserved a laugh, it had been a while since B had properly relaxed"	
supplant	1	265	"B sat precariously on an unsteady perch, B held the reigns of power; for now at least"	
consult	2	263	B was a font of wisdom for anyone who would drink of it	
identify	1	260	"B was rounded up as part of the ""usual"" suspects"	
criticize	6	256	"the last thing B expected from A was criticism, B knew that criticism was part of the job, B was tough-skinned but not impervious to criticism, A's sharp tongue could pierce any tough skin"	
are_controlled_by	1	256	A was a natural follower who needed someone else to take charge	
are_guided_by	1	255	A always looked to others for guidance and advice	
train	2	248	B needed a top-class trainer to reach the top	
compete_with	4	247	"B and A were after the very same thing, "	
consort_with	1	247	B's magnetic allure was made only stronger by all the gossip	
are_deceived_by	2	245	"A gave everyone the benefit of the doubt, it was said that A trusted too easily"	
pick_on	2	239	B seemed weak and the ideal target for bullying	
suppress	3	237	A had very strong ideas about how the world should work	
are_conquered_by	1	235	A had resisted bravely but defeat would be its only reward	
are_mystified_by	1	235	A was not the brightest bulb in the chandelier so confusion came easily	
listen_to	9	233	"It was hard to stop B from talking, A was considered by many to be a good listener, A had never seen b in a modest mood, It was said that A was a very good listener, B could talk and talk and talk"	
rebel_against	2	233	"B could not suppress dissent from A forever, B learned that A's affections were not for sale"	
inherit_from	1	229	B's last will and testament provoked many whispered comments	
mystify	1	229	B was not the brightest bulb in the chandelier so confusion came easily	
are_uncovered_by	2	228	A couldn't expect to go undetected forever	
are_trained_by	2	221	A needed a top-class trainer to reach the top	
drink_with	1	221	"B was a regular in many of the finest drinking establishments and some of the seediest too, A was a regular in many of the finest drinking establishments and some of the seediest too"	
are_healed_by	3	220	A's wounds were many but B was hopeful	
seek	3	220	B's reclusiveness acted as a lure to the curious 	
are_deposed_by	1	220	A's haughty behaviour had provoked unrest amongst once-loyal followers	
break_with	1	217	B had pushed A to the very limit with its behaviour	
are_wooed_by	3	213	A's suitors had begin to form a queue	
vote_for	4	212	B stood out for A in a field of weak candidates	
are_feared_by	5	211	"A cast a long and dark shadow over others, A could make a statue tremble with fear, A's hardened visage simply inspired fear"	
are_ignored_by	2	211	"A had cried ""wolf"" too many times before, ""Are you listening to me?"" asked A"	
are_deflowered_by	3	210	A was a blossoming rose ready to be plucked	
are_taunted_by	3	208	"""Names will never hurt me"" said A defiantly, A's lack of success was sure to attract jeers, A's detractors smelled blood in the water, the writing seemed to be on the wall for A, A's detractors were now forming a queue"	
stalk	3	208	B seemed to represent for A all that was good about life	
are_seduced_by	2	206	A was a pushover for a witty chat-up line	
heal	1	204	B was sick and only A could conceivably help	
are_evicted_by	1	203	A had pushed B to the very limit with its behaviour	
capture	3	200	"B's luck had to run out some time, B could not elude A forever"	
beg_forgiveness_from	2	199	A begged forgiveness from B	
condemn	3	198	"B's actions were deserving of widespread condemnation, B's actions would live forever in ignominy"	
experiment_on	2	198	"B agreed to the experimental treatment as a last gasp effort, "	
pursue	2	198	B had run off and was nowhere to be seen	
imprison	3	197	B had certainly earned A's wrath this time	
are_saved_by	2	197	A's cries for help pierced the night air	
are_enchanted_by	2	194	B exuded a natural energy that seemed almost magical	
imitate	2	194	"B attracted imitators the way honey attracts ants, ""Great artists steal"" joked B"	
run_away_from	3	192	"A wanted to hide where B would never think of looking, A refused to be B's punchbag any longer"	
compliment	2	192	B was as fond of a compliment as the next guy	
overthrow	2	192	B's reign of terror could not last forever	
deal_with	1	190	there was a deal on the table in only A and B could agree	
are_loved_by	2	189	A basked in the warm glow of love	
die_for	1	189	B could bring out the martyr complex in anyone	
speak_to	3	187	"""we need to have that chat now"" said B, ""we've put off this conversation for too long"" said B"	
are_punished_by	1	186	A had pushed B to the very limit with its behaviour	
look_up_to	1	183	B shone like a shining beacon to all who gazed upon its wonder	
fund	1	182	A had money and B needed money; it was a match made in heaven	
wait_on	3	179	B was a creature of whimsical needs	
deliver_to	1	179	B operated a clearing house for information	
are_denounced_by	3	177	"A's transgressions were by now the stuff of legend, A had screwed up for the last time"	
commit_to	3	175	A was finally ready to get off the fence	
rent_to	1	174	B came with good references from a previous landlord	
interpret_for	1	174	B was going to need the help of a translator	
are_subjugated_by	1	173	"A now seemed a sad and broken figure, A's resistance fizzled into acceptance"	
detain	2	172	B wanted to leave but realized the door was locked	
are_guarded_by	1	172	A needed to kept under close observation	
are_converted_by	2	171	A was in the market for a shiny new religion	
eject	3	170	B had certainly outstayed its welcome with A	
are_instructed_by	1	170	A had always relied on the guidance of others	
evaluate	3	167	B tried to not look worried about the impending evaluation	
feel_sorry_for	3	167	"B was certainly in a real pickle this time, B didn't deserve the fate that had befallen it"	
are_subdued_by	1	167	A had put up a real fight but it was B who held the upper hand now	
are_handled_by	3	166	A was a passionate amateur and needed professional help	
save	3	164	"B was really in a pickle this time, ""Help! Help"" cried B forlornly, A heard the cries for help just in time"	
are_released_by	1	163	A had spent enough time cooped up; even B could see that	
cede_power_to	4	162	"A had reached for the brass ring and fallen short, A had taken the big gamble and lost, B exulted in the victory over A"	
are_counseled_by	2	162	B was a font of wisdom for anyone who would drink of it	
are_hurt_by	1	162	A had pushed B to the very limit with its behaviour	
are_criticized_by	2	160	"upsetting others was A's one true talent, A had put its foot in it yet again"	
impersonate	2	160	B had very identifiable mannerisms and stylistic tics	
reject	2	159	B was going to make one last try to win A over	
spread_lies_about	4	158	"people loved to hear stories about a big wheel like B, it was hard to separate truth from fiction when it came to B"	
copy	2	158	B did not believe that imitation is the sincerest form of flattery	
interact_with	1	158	A and B went back a long way together	
write_for	1	158	A had a way with words and B had the charm to use them to their fullest effect 	
are_molded_by	2	156	A's personality was putty waiting to be shaped	
refuse_to_pay	1	156	B had not delivered on its end of the bargain so why cough up the money?	
catch	2	154	"B could not stay on the run forever, the bounty on B's head was sure to attract interest"	
are_insured_by	1	154	"A was not rise-averse but was sensible about insurance, A knew the risks and wanted to quantify them"	
are_bored_by	3	153	"A had a very low threshold for boredom, B was less interesting than a wet-paint sign, B was less interesting than a party in a nunnery, B was less interesting that alcohol-free beer, B's jokes were as stale as old bread"	
date	6	152	"A met B at a speed dating event, A's friends were always introducing potential mates like B, B was new to the dating scene, A was new to the dating scene"	
are_assisted_by	2	152	"""Looks like you could use a helping hand"" said B, ""I could really use an extra pair of hands"" said A"	
are_incarcerated_by	2	152	A was in the wrong and wasn't going to be allowed to leave	
charm	3	149	B was easily swayed by a nice smile and an easy manner	
seduce	3	149	"here at last was a challenge worthy of A's skills of seduction, B would be a tough nut to crack open, it would take skill to pierce B's icy exterior"	
curse	1	148	B had pushed A to the very limit with its behaviour	
lease_from	1	148	A needed a place to live and B had plenty of it	
are_betrayed_by	2	147	"A had put too much trust in B, A's friends had cautioned against trusting B, A put a lot of trust in B; too much trust, A put a lot of trust in B; more than B deserved "	
defraud	2	147	B wrote cheques first and asked questions later	
are_mocked_by	5	146	"A had become a figure of fun to those in the know, B liked to crack wise about everyone else, "	
dispatch	2	145	B lobbied hard for this assignment	
let_go_of	3	143	B's itchy feet were pointing toward the door	
punish	3	143	B had gone and done it this time	
coach	2	143	"B recognized the value of a good coach, B knew that great coaches were 1 in a million"	
spy_on	7	142	"B seemed to be keeping a secret that was worth uncovering, A was naturally furtive and a good spy, A could blend in to any surroundings"	
are_copied_by	3	141	"A was a true original in every respect, A attracted imitators the way trawlers attract seagulls"	
enlist	3	140	B was looking for a disciplined work environment	
are_kidnapped_by	2	139	A had rich parents and caused dollar signs to appear in B's eyes	
lay_a_trap_for	2	139	"B had become smug with recent success, B naturally assumed that everyone else was slower and dumber"	
propagandize_for	2	138	"B knew the value of a good spin doctor, B needed to win the hearts and minds of the people"	
guard	4	137	B needed close observation around the clock	
alienate	2	134	"B sensed a growing rift with A, B's once passionate relationship with A was cooling fast"	
are_financed_by	2	133	"A went from VC to VC with cap in hand, A went from VC to VC with a begging bowl, "	
confer_with	4	132	A needed advice and B was available	
compose_with	1	131	B claimed to be the best collaborator since Quisling	
are_supplied_by	2	130	"""Which supplier has the best prices?"" wondered A, ""I can undercut any of my rivals"" opined B"	
are_mentored_by	3	127	B's hard-earned wisdom was in much demand	
are_enticed_by	2	127	B exuded an animal magnetism that was hard to fight	
debrief	1	127	B had as many questions as hard facts	
disagree_with	4	125	B's argument did not persuade everyone	
mimic	2	125	B had very identifiable mannerisms and stylistic tics	
are_reviewed_by	1	125	"A saw critics as a necessary evil that one must tolerate, A had formed a love-hate relationship with the critics"	
argue_with	4	124	"A loved a good argument, B attracted arguments the way honey attracts ants, "	
release	2	124	B was going crazy cooped up in that tiny space	
communicate_with	1	124	A and B went back a long way together	
rank	1	124	"B's resume had ended up on A's desk, B's application had ended up on A's desk"	
are_rebuffed_by	2	123	it took guts for A to make the first conciliatory move	
are_indoctrinated_by	3	122	"A's mind was jello looking for the right mould, A's mind craved certainty in an uncertain world "	
visit	4	121	"""Drop by any time"" B had told A"	
avoid	2	120	B pushed everyone away eventually	
are_driven_mad_by	1	120	B had pushed A to the very limit with its behaviour	
condescend_to	7	117	"A exuded a strong whiff of presumed superiority, generations of privilege gave A an air of condescension, condescension was a gene in A's privileged family, the blood ran cold and blue in A's veins, A's family had always considered themselves a cut above, A's family had always looked down on their neighbours, A was descended from very old money "	
sell_to	2	117	it was a seller's market but B had money to burn	
speak_with	1	117	"B offered a rare audience to A, B sat down and poured tea for two"	
are_captured_by	2	116	A couldn't expect to avoid capture indefinitely	
threaten_with	1	116	A didn't have a menacing personality but it knew someone who did	
are_questioned_by	2	115	A knew that recent events would be hard to explain	
welcome	2	115	B had shown up out of the blue with few expectations	
are_examined_by	1	115	A looked nervous when it turned up for its appointment with B	
are_prosecuted_by	1	115	A had pushed B to the very limit with its behaviour	
are_encouraged_by	1	113	B was so enthusiastic it could rouse a stone into action	
chase	1	112	B had left A behind without even a goodbye note	
enslave	3	111	B had seemingly lost everything and now this	
execute	1	111	"B deserved the chop yet begged for forgiveness, B deserved the chop but was defiant to the end"	
preach_to	2	110	B had screwed up and would have to face the music	
promote	2	110	B lobbied long and hard for a promotion	
cross_examine	2	109	"B sat nervously in the witness box, B held the bible and swore to answer truthfully"	
censure	1	109	B had pushed A to the very limit with its behaviour	
send	3	107	B lobbied hard to get this mission	
supply	3	107	B needed to get the goods from somewhere	
stand_up_to	2	107	B searched assiduously for A's breaking point	
play_against	1	107	A respected B as a player but would give it no quarter	
pose_for	1	107	B had an eye for a good model and A had what it took	
are_defrauded_by	2	106	"A was to learn that a fool and his money are easily parted, A had more money than sense"	
dismiss	2	106	B had grovelled but it was too little too late	
fool	1	106	B was friendly to the point of being gullible	
search_for	4	103	"the very idea of B called out to A's dreams, thoughts of B haunted A's dreams"	
are_brainwashed_by	3	103	"A's mind was soft clay waiting to be shaped into a rigid statue, A's mind was a jumble of conflicting ideas, A's mind was ready to be cleared of its received ideas"	
